id	hl	bvsr	osmotic	uv	temp	h2o2	cold	salt
sgl0001	0	0	0	0	0	0	0	0
sgl0002	-1	-1	-1	0	0	0	0	0
sll0002	0	1	0	0	0	0	0	0
sll0005	1	0	1	0	1	0	0	1
sll0006	0	-1	-1	0	1	0	0	0
sll0007	-1	1	0	0	0	0	0	0
sll0008	0	1	1	0	0	0	0	0
sll0010	1	0	0	0	0	0	0	-1
sll0012	0	0	0	0	0	0	0	0
sll0016	0	1	0	0	0	0	0	-1
sll0017	-1	1	-1	0	0	0	0	-1
sll0018	0	-1	1	0	1	0	0	0
sll0019	-1	0	-1	0	0	0	0	-1
sll0020	1	1	1	0	0	1	0	1
sll0021	0	0	1	0	0	0	0	0
sll0022	0	-1	-1	0	0	0	0	0
sll0023	0	-1	-1	-1	-1	0	0	0
sll0024	-1	1	-1	0	0	0	0	0
sll0026	-1	1	-1	0	0	-1	1	-1
sll0027	-1	0	0	0	0	-1	0	0
sll0030	0	0	1	0	1	0	0	0
sll0031	0	1	0	0	0	0	0	1
sll0033	-1	0	-1	0	0	0	0	-1
sll0034	0	0	-1	0	0	0	0	0
sll0036	1	1	0	0	0	0	0	-1
sll0037	-1	0	-1	0	0	-1	0	0
sll0038	0	-1	0	0	0	0	0	1
sll0039	0	0	-1	0	0	0	0	0
sll0040	0	1	-1	0	-1	0	0	0
sll0041	-1	0	-1	1	1	1	0	0
sll0042	-1	1	0	0	0	0	0	0
sll0043	-1	1	-1	0	0	0	0	0
sll0044	-1	1	-1	0	0	0	0	0
sll0045	0	0	1	0	0	0	0	0
sll0047	0	0	0	0	0	0	0	-1
sll0048	1	0	0	0	0	0	0	1
sll0051	-1	-1	-1	0	0	0	0	-1
sll0053	0	-1	-1	0	0	0	0	0
sll0055	1	-1	-1	0	0	0	0	0
sll0057	0	0	0	0	0	0	0	0
sll0058	0	-1	0	0	0	0	0	0
sll0060	0	-1	1	0	0	0	0	0
sll0062	0	0	1	0	0	0	0	0
sll0063	0	1	0	0	0	0	0	0
sll0064	-1	0	-1	0	0	0	0	0
sll0065	0	0	0	0	0	0	0	0
sll0066	0	0	1	0	0	0	0	1
sll0067	0	-1	1	0	0	0	0	0
sll0068	0	-1	-1	0	0	0	0	0
sll0069	1	-1	0	0	0	0	0	0
sll0070	-1	-1	-1	0	0	0	0	0
sll0071	0	-1	0	0	0	0	0	-1
sll0072	-1	0	0	0	0	0	0	1
sll0078	1	-1	0	0	0	1	0	0
sll0080	0	0	-1	0	-1	0	0	0
sll0082	0	0	0	0	0	0	0	0
sll0083	-1	1	0	0	0	0	0	-1
sll0084	0	0	1	0	0	0	0	0
sll0085	0	0	0	0	0	0	0	0
sll0086	1	0	1	0	0	1	1	1
sll0088	1	0	0	1	0	0	0	1
sll0092	0	0	0	0	0	0	0	0
sll0094	0	1	0	0	0	0	0	0
sll0095	0	0	0	0	1	0	0	0
sll0096	0	-1	-1	1	0	1	0	0
sll0098	0	0	0	0	-1	0	0	0
sll0099	0	0	0	0	0	0	0	0
sll0100	0	0	0	-1	0	0	0	0
sll0101	1	0	0	0	0	1	0	0
sll0102	0	0	0	0	0	0	-1	0
sll0103	1	0	0	0	0	0	0	0
sll0107	0	0	1	0	0	0	0	0
sll0108	-1	1	-1	0	0	0	0	0
sll0109	0	0	-1	0	0	0	0	0
sll0135	0	1	-1	0	1	0	0	0
sll0136	0	0	0	0	0	0	0	0
sll0140	0	0	0	0	0	0	0	0
sll0141	1	0	-1	0	0	1	0	0
sll0142	1	-1	1	0	-1	1	0	0
sll0144	0	0	-1	0	0	0	0	-1
sll0145	-1	-1	0	0	0	0	0	-1
sll0146	0	-1	-1	0	0	0	0	-1
sll0147	-1	-1	-1	0	0	0	0	0
sll0148	0	0	-1	0	0	0	0	0
sll0149	0	0	0	0	0	0	0	0
sll0154	0	1	0	0	0	0	0	0
sll0156	0	0	0	0	0	0	0	1
sll0157	1	0	1	0	0	1	0	1
sll0158	-1	1	0	0	0	0	0	-1
sll0160	0	-1	0	0	0	0	0	0
sll0161	0	0	0	0	0	0	0	0
sll0162	0	0	0	1	-1	0	0	0
sll0163	1	0	-1	0	0	0	0	0
sll0166	1	0	-1	0	0	0	0	0
sll0167	0	0	0	0	0	0	0	0
sll0168	0	1	0	0	0	0	0	0
sll0169	0	1	1	0	0	0	0	1
sll0170	0	1	1	0	1	1	0	1
sll0171	0	-1	0	0	1	0	0	0
sll0172	-1	0	-1	0	0	0	0	0
