id	gocat	goterm	goid
sll0005	B	protein amino acid phosphorylation	GO:0006468
sll0005	M	ATP binding	GO:0005524
sll0005	M	protein kinase activity	GO:0004672
sll0006	B	biosynthetic process	GO:0009058
sll0006	M	catalytic activity	GO:0003824
sll0006	M	pyridoxal phosphate binding	GO:0030170
sll0006	M	transferase activity, transferring nitrogenous groups	GO:0016769
sll0010	M	nucleic acid binding	GO:0003676
sll0012	B	transposition, DNA-mediated	GO:0006313
sll0012	M	DNA binding	GO:0003677
sll0012	M	transposase activity	GO:0004803
sll0016	B	peptidoglycan turnover	GO:0009254
sll0016	C	outer membrane	GO:0019867
sll0016	M	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553
sll0017	B	tetrapyrrole biosynthetic process	GO:0033014
sll0017	M	catalytic activity	GO:0003824
sll0017	M	glutamate-1-semialdehyde 2,1-aminomutase activity	GO:0042286
sll0017	M	pyridoxal phosphate binding	GO:0030170
sll0017	M	transaminase activity	GO:0008483
sll0018	B	glycolysis	GO:0006096
sll0018	B	metabolic process	GO:0008152
sll0018	M	catalytic activity	GO:0003824
sll0018	M	fructose-bisphosphate aldolase activity	GO:0004332
sll0018	M	zinc ion binding	GO:0008270
sll0019	B	isoprenoid biosynthetic process	GO:0008299
sll0019	B	metabolic process	GO:0008152
sll0019	B	oxidation reduction	GO:0055114
sll0019	M	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity	GO:0030604
sll0019	M	binding	GO:0005488
sll0019	M	catalytic activity	GO:0003824
sll0019	M	metal ion binding	GO:0046872
sll0020	B	nucleotide-excision repair	GO:0006289
sll0020	B	protein metabolic process	GO:0019538
sll0020	M	ATP binding	GO:0005524
sll0020	M	DNA binding	GO:0003677
sll0020	M	nuclease activity	GO:0004518
sll0020	M	nucleoside-triphosphatase activity	GO:0017111
sll0020	M	nucleotide binding	GO:0000166
sll0020	M	protein binding	GO:0005515
sll0021	B	DNA metabolic process	GO:0006259
sll0021	M	exonuclease activity	GO:0004527
sll0021	M	hydrolase activity	GO:0016787
sll0026	B	ATP synthesis coupled electron transport	GO:0042773
sll0026	B	oxidation reduction	GO:0055114
sll0026	M	NADH dehydrogenase (ubiquinone) activity	GO:0008137
