bait	prey	source
slr1239	slr1434	string
slr1093	slr2026	string
slr0676	slr1165	string
slr0608	slr0652	string
slr0591	slr1164	string
slr0546	slr0966	string
slr0543	slr0966	string
slr0543	slr0546	string
slr0261	slr1281	string
slr0220	slr0638	string
slr0055	slr1979	string
slr0055	slr0738	string
sll1994	slr1887	string
sll1893	slr0084	string
sll1841	slr1934	string
sll1787	sll1818	string
sll1750	slr1256	string
sll1721	slr1934	string
sll1721	sll1841	string
sll1444	sll1470	string
sll1395	slr1933	string
sll1327	slr1329	string
sll1056	slr0520	string
sll1023	sll1557	string
sll0454	sll1553	string
sll0420	slr1256	string
sll0420	sll1750	string
sll0373	slr2035	string
sll0370	sll1498	string
sll0356	slr0546	string
sll0336	sll0728	string
sll0080	slr1898	string
slr1279	slr1280	string
slr1093	slr1626	string
slr0750	slr0772	string
slr0585	slr1133	string
slr0477	slr1159	string
slr0261	slr1280	string
slr0084	slr0500	string
slr0055	slr1867	string
sll1893	slr0500	string
sll1841	slr1096	string
sll1470	slr1517	string
sll1326	sll1327	string
sll1299	slr2132	string
sll0757	slr1159	string
sll0578	sll0901	string
sll0520	slr0261	string
sll0519	slr0261	string
sll0171	slr0293	string
sll0065	slr2088	string
slr1279	slr1281	string
slr0963	slr1791	string
slr0084	slr0652	string
sll1890	slr1211	string
sll1721	slr1096	string
sll1479	slr1843	string
sll1470	slr0186	string
sll1444	slr1517	string
sll1363	slr2088	string
sll1220	sll1221	string
sll1027	sll1502	string
sll0900	slr0608	string
sll0823	slr1233	string
sll0657	slr1351	string
sll0520	slr1280	string
sll0017	sll1994	string
slr1511	slr2023	string
slr0983	slr0984	string
slr0951	slr1542	string
slr0738	slr1867	string
slr0523	slr1364	string
slr0394	slr0783	string
slr0009	slr0012	string
sll1883	slr1898	string
sll1625	slr1233	string
sll1444	slr0186	string
sll1370	slr2074	string
sll1370	slr0493	string
sll1282	slr0066	string
sll1018	slr1476	string
sll0459	slr1844	string
