id	cat
sll0084	Amino acid biosynthesis
sll0109	Amino acid biosynthesis
sll0356	Amino acid biosynthesis
sll0900	Amino acid biosynthesis
sll1112	Amino acid biosynthesis
sll1662	Amino acid biosynthesis
sll1669	Amino acid biosynthesis
sll1713	Amino acid biosynthesis
sll1747	Amino acid biosynthesis
sll1893	Amino acid biosynthesis
sll1958	Amino acid biosynthesis
slr0055	Amino acid biosynthesis
slr0084	Amino acid biosynthesis
slr0444	Amino acid biosynthesis
slr0500	Amino acid biosynthesis
slr0543	Amino acid biosynthesis
slr0546	Amino acid biosynthesis
slr0608	Amino acid biosynthesis
slr0652	Amino acid biosynthesis
slr0682	Amino acid biosynthesis
slr0738	Amino acid biosynthesis
slr0966	Amino acid biosynthesis
slr1559	Amino acid biosynthesis
slr1848	Amino acid biosynthesis
slr1867	Amino acid biosynthesis
slr1979	Amino acid biosynthesis
slr2081	Amino acid biosynthesis
slr2130	Amino acid biosynthesis
sll0006	Amino acid biosynthesis
sll0402	Amino acid biosynthesis
sll0455	Amino acid biosynthesis
sll1058	Amino acid biosynthesis
sll1172	Amino acid biosynthesis
sll1688	Amino acid biosynthesis
sll1760	Amino acid biosynthesis
slr0036	Amino acid biosynthesis
slr0212	Amino acid biosynthesis
slr0549	Amino acid biosynthesis
slr0550	Amino acid biosynthesis
slr1665	Amino acid biosynthesis
sll0065	Amino acid biosynthesis
sll0504	Amino acid biosynthesis
sll1363	Amino acid biosynthesis
sll1444	Amino acid biosynthesis
sll1470	Amino acid biosynthesis
sll1564	Amino acid biosynthesis
sll1981	Amino acid biosynthesis
slr0032	Amino acid biosynthesis
slr0186	Amino acid biosynthesis
slr0452	Amino acid biosynthesis
slr1517	Amino acid biosynthesis
slr2072	Amino acid biosynthesis
slr2088	Amino acid biosynthesis
sll0080	Amino acid biosynthesis
sll0100	Amino acid biosynthesis
sll0373	Amino acid biosynthesis
sll0450	Amino acid biosynthesis
sll0461	Amino acid biosynthesis
sll0601	Amino acid biosynthesis
sll0704	Amino acid biosynthesis
sll0784	Amino acid biosynthesis
sll0902	Amino acid biosynthesis
sll1027	Amino acid biosynthesis
sll1454	Amino acid biosynthesis
sll1499	Amino acid biosynthesis
sll1502	Amino acid biosynthesis
sll1883	Amino acid biosynthesis
slr0077	Amino acid biosynthesis
slr0288	Amino acid biosynthesis
slr0387	Amino acid biosynthesis
slr0395	Amino acid biosynthesis
slr0585	Amino acid biosynthesis
slr0644	Amino acid biosynthesis
slr0661	Amino acid biosynthesis
slr0710	Amino acid biosynthesis
slr0898	Amino acid biosynthesis
slr0899	Amino acid biosynthesis
slr1022	Amino acid biosynthesis
slr1133	Amino acid biosynthesis
slr1529	Amino acid biosynthesis
slr1653	Amino acid biosynthesis
slr1756	Amino acid biosynthesis
slr1898	Amino acid biosynthesis
slr2035	Amino acid biosynthesis
slr2079	Amino acid biosynthesis
slr2143	Amino acid biosynthesis
ssl0707	Amino acid biosynthesis
ssl2667	Amino acid biosynthesis
sll0712	Amino acid biosynthesis
sll1908	Amino acid biosynthesis
sll1931	Amino acid biosynthesis
slr0676	Amino acid biosynthesis
slr0963	Amino acid biosynthesis
