id	hl_15min	hl_1h	hl_2h	hl_3h	hl_4h	hl_6h	dcmu_15min	dcmu_45min	dcmu_1p5h	dcmu_3h	dcmu_6h	br_15min	br_45min	br_1p5h	br_2h	br_3h	br_6h	KEGG_Hihara_dbmib20	KEGG_Hihara_dbmib300	KEGG_Hihara_dcmu20	KEGG_Hihara_dcmu300	KEGG_Hihara_hl_15min	KEGG_Hihara_hl_1h	KEGG_Hihara_hl_6h	KEGG_Hihara_hl_15h	KEGG_Kobayashi_oxidative stress -slr1738	KEGG_Kobayashi_oxidative stress -WT vs MV 	KEGG_Paithoon_wt	singh_h2o2	singh_nitrogen	suzuki_cold_stress_wt	GSE3682_Cd	GSE3703_H2O2	osanai_nitrogen	singh_lowFe_3	GSE1695_inorganic carbon limitation_1h	GSE1695_inorganic carbon limitation_3h	GSE1695_inorganic carbon limitation_200min	GSE1695_inorganic carbon limitation_6h	GSE1695_inorganic carbon limitation_12h	hagemann_wt	tina_light_dark	GSE4613_uv_3h	GSE4613_uv_36h	singh_linVsSat	singh_temp	KEGG_CAMP_recepter	KEGG_Kobayashi_oxidative stress -slr1738	KEGG_Paithoon_hik2	KEGG_Paithoon_hik10	KEGG_Paithoon_hik16	KEGG_Paithoon_hik33	KEGG_Paithoon_hik34	KEGG_Paithoon_hik41	KEGG_Paithoon_rre1	KEGG_Paithoon_rre3	KEGG_Paithoon_rre17	KEGG_Paithoon_rre31	KEGG_Panichkin	KEGG_Shoumskaya_wt_salt_stress	KEGG_Shoumskaya_Rre31	KEGG_Shoumskaya_Hik11	KEGG_Shoumskaya_Hik16	KEGG_Shoumskaya_Hik34	KEGG_Shoumskaya_Hik41	KEGG_Shoumskaya_Rre1	KEGG_Shoumskaya_Rre3	KEGG_Shoumskaya_Rre17
sgl0001	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgl0002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	1	1	0	-1	0	-1	0	1	0	0	0	0	-1	-1	-1	-1	-1	1	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	0	-1	0	1	0	-1	-1	0	-1	0	0	-1	0
sll0002	0	0	0	1	0	1	0	-1	1	0	1	-1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1
sll0005	0	0	1	0	1	1	0	0	1	1	-1	1	1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	-1	-1	0	0	0	1	0	0	0	1	-1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1
sll0006	0	0	0	0	1	0	1	1	1	1	1	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	1	0	0	-1	0	0	-1	-1	-1	-1	1	0	0	-1	1	0	0	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	0	-1	-1	-1	0	-1	0	-1	-1
sll0007	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sll0008	0	0	0	0	1	0	1	1	1	1	1	-1	1	1	1	1	1	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sll0010	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0
sll0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		0	-1	-1	-1	0	0	1	0	0	0	0	0																						
sll0016	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	-1
sll0017	0	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	1	1	1	1	1	-1	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	1	1	-1	-1	-1	-1	1	0	0	0	0	0	0	-1	-1	0	-1	-1	0	-1	0	-1	0	0	-1	0	-1	-1	-1	0	-1	-1	0
sll0018	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	-1	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	0	0	-1
sll0019	0	-1	-1	-1	-1	-1	1	1	1	1	1	0	-1	-1	0	1	1	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	0	1	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	-1	-1	0	0	-1	0	0	-1	0	0	0	0	0
sll0020	1	0	1	1	0	1	-1	-1	-1	-1	-1	1	1	1	1	-1	0	1	0	1	1	1	0	0	0	0	0	1	1	-1	0	-1	0	1	1	0	0	1	1	1	0	-1	0	0	0	0	0	-1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1
sll0021	0	0	1	0	1	0	1	1	1	1	1	1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	1	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
sll0022	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	-1	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
sll0023	0	0	0	0	1	0	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	0	0	0	0	0	-1	1	1	0	-1	-1	0	1	-1	0	0	0	0	-1	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1
sll0024	-1	-1	-1	-1	0	0	1	1	0	1	-1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
sll0026	-1	-1	0	-1	0	-1	-1	-1	0	0	0	0	-1	1	1	1	1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	-1	0	0	0	-1	-1	0	1	0	0	-1	0	0	0	-1	0	0	-1	-1	0	-1	-1	-1	0	0	-1	0	0	0	0	-1	0	-1	-1
sll0027	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	-1
sll0030	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0
sll0031	0	0	0	0	0	-1	0	-1	0	0	-1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0
