id	reaction
sll0467	L-Ribulose 5-phosphate <=> L-Xylulose 5-phosphate
sll0467	beta-D-Ribopyranose <=> beta-D-Ribofuranose
sll0467	Sedoheptulose 7-phosphate <=> D-glycero-D-manno-Heptose 7-phosphate
sll0467	Fecosterol <=> Episterol
sll0467	7,9,7',9'-Tetra-cis-lycopene <=> Lycopene
slr1744	N-Acetylmuramoyl-Ala + H2O <=> N-Acetylmuramate + L-Alanine
slr0453	cis-4-(1'-Hydroxynaphth-2'-yl)-2-oxobut-3-enoate + H2O <=>1-Hydroxy-2-naphthaldehyde + Pyruvate
slr0453	Succinate semialdehyde + Pyruvate <=> 2,4-Dihydroxyhept-2-enedioate
slr0453	4-Trimethylammoniobutanal + Glycine <=>3-Hydroxy-N6,N6,N6-trimethyl-L-lysine
slr0453	2-Dehydro-3-deoxy-6-phospho-D-gluconate <=> D-Glyceraldehyde3-phosphate + Pyruvate
slr0453	2-Dehydro-3-deoxy-D-gluconate <=> D-Glyceraldehyde + Pyruvate
slr0453	2-Dehydro-3-deoxy-L-rhamnonate <=> (S)-Lactaldehyde + Pyruvate
slr0453	9(S)-HPOT <=> 9-Oxononanoic acid + 3,6-Nonadienal
slr0453	Sphingosine 1-phosphate <=> Ethanolamine phosphate + Hexadecenal
slr0453	L-Aspartate 4-semialdehyde + 6-Deoxy-5-ketofructose 1-phosphate <=>2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid +Hydroxypyruvaldehyde phosphate
slr0453	13(S)-HPOT <=> 12-Oxo-9(Z)-dodecenoic acid + 3-Hexenal
slr0453	4-Hydroxy-2-oxo-heptanedioate <=> Succinate semialdehyde + Pyruvate
slr0942	6-Hydroxyhexanoic acid + NADP+ <=> Adipate semialdehyde + NADPH + H+
sll0210	di-trans,poly-cis-Undecaprenyl diphosphate + H2O <=>di-trans,poly-cis-Undecaprenyl phosphate + Orthophosphate
slr0121	Penicillin + H2O <=> Penicilloic acid
slr0121	beta-Lactam + H2O <=> Substituted beta-amino acid
slr0121	Benzylpenicilloic acid <=> Penicillin G + H2O
sll1363	(R)-2,3-Dihydroxy-3-methylbutanoate + NADP+ <=> (S)-2-Acetolactate +NADPH + H+
sll1363	(S)-2-Acetolactate <=> 3-Hydroxy-3-methyl-2-oxobutanoic acid
sll1363	(R)-2,3-Dihydroxy-3-methylbutanoate + NADP+ <=>3-Hydroxy-3-methyl-2-oxobutanoic acid + NADPH + H+
sll0898	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine + H2O <=> UMP +2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate
sll0898	GDP-mannose + H2O <=> GMP + D-Mannose 1-phosphate
slr0624	ATP + N-Acetyl-D-mannosamine <=> ADP + N-Acetyl-D-mannosamine6-phosphate
slr0624	UDP-N-acetyl-D-glucosamine <=> UDP-N-acetyl-D-mannosamine
slr0624	N-Acetyl-D-mannosamine + UDP <=> UDP-N-acetyl-D-mannosamine + H2O
slr0624	UDP-N-acetyl-D-glucosamine + H2O <=> N-Acetyl-D-mannosamine + UDP
sll0899	UTP + N-Acetyl-alpha-D-glucosamine 1-phosphate <=> Diphosphate +UDP-N-acetyl-D-glucosamine
sll0899	Acetyl-CoA + alpha-D-Glucosamine 1-phosphate <=> CoA +N-Acetyl-alpha-D-glucosamine 1-phosphate
sll0379	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] +UDP-N-acetyl-D-glucosamine <=> Acyl-carrier protein +UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine
slr0618	Adenosyl cobyrinate a,c diamide + 4 L-Glutamine + 4 ATP + 4 H2O <=>Adenosyl cobyrinate hexaamide + 4 L-Glutamate + 4 Orthophosphate + 4ADP
slr1549	Formyl-L-methionyl peptide + H2O <=> Methionyl peptide + Formate
slr1830	(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] + NADP+ <=>3-Oxohexadecanoyl-[acp] + NADPH + H+
slr1830	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] <=>But-2-enoyl-[acyl-carrier protein] + H2O
slr1830	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine + Acyl-carrierprotein <=> UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine +(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]
slr1830	Acetyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=>Acetoacetyl-[acp] + CO2 + Acyl-carrier protein
slr1830	3-Oxostearoyl-[acp] + NADPH + H+ <=> 3-Hydroxyoctadecanoyl-[acp] +NADP+
slr1830	3-Hydroxyoctadecanoyl-[acp] <=> (2E)-Octadecenoyl-[acp] + H2O
slr1830	Malonyl-CoA + Palmitoyl-CoA <=> 3-Oxostearoyl-CoA + CoA + CO2
