id	pathid	specificpath	generalpath
sll0593	syn01200	Carbon metabolism	Overview
slr0329	syn01200	Carbon metabolism	Overview
slr1349	syn01200	Carbon metabolism	Overview
sll1196	syn01200	Carbon metabolism	Overview
sll0745	syn01200	Carbon metabolism	Overview
slr0943	syn01200	Carbon metabolism	Overview
sll0018	syn01200	Carbon metabolism	Overview
slr0783	syn01200	Carbon metabolism	Overview
slr0884	syn01200	Carbon metabolism	Overview
sll1342	syn01200	Carbon metabolism	Overview
slr0394	syn01200	Carbon metabolism	Overview
slr1945	syn01200	Carbon metabolism	Overview
slr1748	syn01200	Carbon metabolism	Overview
slr1124	syn01200	Carbon metabolism	Overview
slr0752	syn01200	Carbon metabolism	Overview
sll1275	syn01200	Carbon metabolism	Overview
sll0587	syn01200	Carbon metabolism	Overview
slr1934	syn01200	Carbon metabolism	Overview
sll1721	syn01200	Carbon metabolism	Overview
sll1841	syn01200	Carbon metabolism	Overview
slr1096	syn01200	Carbon metabolism	Overview
slr0721	syn01200	Carbon metabolism	Overview
slr1843	syn01200	Carbon metabolism	Overview
sll1479	syn01200	Carbon metabolism	Overview
sll0329	syn01200	Carbon metabolism	Overview
sll0807	syn01200	Carbon metabolism	Overview
slr0194	syn01200	Carbon metabolism	Overview
ssl2153	syn01200	Carbon metabolism	Overview
sll1070	syn01200	Carbon metabolism	Overview
slr1793	syn01200	Carbon metabolism	Overview
sll0469	syn01200	Carbon metabolism	Overview
sll1709	syn01200	Carbon metabolism	Overview
sll0107	syn01200	Carbon metabolism	Overview
sll0401	syn01200	Carbon metabolism	Overview
slr0665	syn01200	Carbon metabolism	Overview
slr1289	syn01200	Carbon metabolism	Overview
sll1557	syn01200	Carbon metabolism	Overview
sll1023	syn01200	Carbon metabolism	Overview
slr1233	syn01200	Carbon metabolism	Overview
sll1625	syn01200	Carbon metabolism	Overview
sll0823	syn01200	Carbon metabolism	Overview
slr0018	syn01200	Carbon metabolism	Overview
sll0891	syn01200	Carbon metabolism	Overview
sll1525	syn01200	Carbon metabolism	Overview
slr0009	syn01200	Carbon metabolism	Overview
slr0012	syn01200	Carbon metabolism	Overview
slr0952	syn01200	Carbon metabolism	Overview
slr2094	syn01200	Carbon metabolism	Overview
sll0920	syn01200	Carbon metabolism	Overview
sll0741	syn01200	Carbon metabolism	Overview
slr0301	syn01200	Carbon metabolism	Overview
slr0435	syn01200	Carbon metabolism	Overview
sll0053	syn01200	Carbon metabolism	Overview
sll0728	syn01200	Carbon metabolism	Overview
sll0336	syn01200	Carbon metabolism	Overview
