Gene 	stress
slr1291	COLD
ssl2542	COLD
slr0083	COLD
ssr2595	COLD
sll1541	COLD
slr1105	COLD
sll0086	COLD
sll1483	COLD
ssl1633	COLD
sll0517	COLD
sll0384	COLD
slr0400	COLD
sll2012	COLD
slr0955	COLD
slr0401	COLD
slr1974	COLD
slr1254	COLD
slr1392	COLD
slr0399	COLD
slr0423	COLD
sll1441	COLD
sll0385	COLD
slr1992	COLD
slr0426	COLD
sll1770	COLD
sll1147	COLD
sll1772	COLD
slr1881	COLD
slr1544	COLD
slr0082	COLD
slr1927	COLD
ssr2016	COLD
sll1611	COLD
sll1911	COLD
slr1747	COLD
sll0494	COLD
sll0815	COLD
slr0236	COLD
slr1677	COLD
slr1436	COLD
sll0355	COLD
slr0616	COLD
sll0185	COLD
sll1514	HYPEROSMOTIC
sll1483	HYPEROSMOTIC
sll0330	HYPEROSMOTIC
slr1963	HYPEROSMOTIC
slr1641	HYPEROSMOTIC
slr1204	HYPEROSMOTIC
slr0423	HYPEROSMOTIC
ssl2542	HYPEROSMOTIC
ssr2595	HYPEROSMOTIC
sll0306	HYPEROSMOTIC
slr1516	HYPEROSMOTIC
sll0430	HYPEROSMOTIC
slr1285	HYPEROSMOTIC
ssl1633	HYPEROSMOTIC
sll0170	HYPEROSMOTIC
sll0005	HYPEROSMOTIC
slr2076	HYPEROSMOTIC
slr0093	HYPEROSMOTIC
slr2075	HYPEROSMOTIC
sll0416	HYPEROSMOTIC
slr0381	HYPEROSMOTIC
sll2021	HYPEROSMOTIC
sll1863	HYPEROSMOTIC
sll1862	HYPEROSMOTIC
sll0528	HYPEROSMOTIC
sll0846	HYPEROSMOTIC
slr1544	HYPEROSMOTIC
sll1722	HYPEROSMOTIC
slr0959	HYPEROSMOTIC
sll0939	HYPEROSMOTIC
sll1884	HYPEROSMOTIC
slr1603	HYPEROSMOTIC
slr1915	HYPEROSMOTIC
ssr2016	HYPEROSMOTIC
ssl2971	HYPEROSMOTIC
slr1413	HYPEROSMOTIC
slr0967	HYPEROSMOTIC
slr0581	HYPEROSMOTIC
ssr1853	HYPEROSMOTIC
slr1119	HYPEROSMOTIC
ssl3446	HYPEROSMOTIC
slr0852	HYPEROSMOTIC
ssr3188	HYPEROSMOTIC
slr0112	HYPEROSMOTIC
sll0294	HYPEROSMOTIC
sll1514	NACL
slr1641	NACL
sll0306	NACL
slr1516	NACL
ssr2595	NACL
ssl3044	NACL
slr1963	NACL
sll1566	NACL
sll0170	NACL
sll1167	NACL
ssl2542	NACL
sll1594	NACL
sll1085	NACL
slr1204	NACL
slr0093	NACL
sll0938	NACL
sll1621	NACL
sll1483	NACL
sll1797	NACL
slr1916	NACL
ssl1633	NACL
sll0416	NACL
slr1192	NACL
sll2012	NACL
slr0095	NACL
sll1862	NACL
sll1863	NACL
sll0528	NACL
sll0939	NACL
slr0967	NACL
slr1544	NACL
slr1603	NACL
slr0959	NACL
slr1687	NACL
sll0846	NACL
slr1704	NACL
sll1884	NACL
slr1915	NACL
sll1722	NACL
ssr3188	NACL
ssr2194	NACL
