start	end	operonid
937	1494	1381287
1577	2098	1381288
2172	2873	1381289
3192	4268	1381290
4451	5389	1381291
5534	6622	1381292
7229	8311	1381293
8492	10471	1381294
10622	12631	1381295
12755	13363	1381296
13498	15675	2124
15937	17687	2125
17853	20408	1381297
20615	21595	1381298
21838	25144	2126
25266	27857	1381299
27990	29030	1381300
29098	32454	2127
32524	33544	2128
33891	35489	1381301
35566	36615	1381302
36721	38538	1381303
38644	39636	1381304
39802	43397	2129
43571	44885	2130
44948	46789	1381305
47007	48017	1381306
48067	49868	2131
49893	50231	1381307
50246	51895	1381308
52260	53108	1381309
53453	54127	1381310
54533	55657	1381311
55669	57224	2132
57340	58815	1381312
59039	59650	1381313
59746	60423	1381314
60524	61522	1381315
61834	64914	2133
64987	65748	1381316
65827	67533	1381317
67606	68361	1381318
68400	69059	1381319
69284	69985	1381320
70016	74229	2134
74498	74785	1381321
74995	75804	1381322
75955	77407	2135
77494	77874	1381323
78467	80800	1381324
80938	81690	1381325
81696	83853	2136
84122	87418	2137
87536	87910	1381326
88017	88661	1381327
88818	90512	1381328
90620	91411	1381329
91517	92482	1381330
93128	95808	2138
95818	96228	1381331
96325	98481	1381332
98609	99199	1381333
99402	100793	1381334
100794	101771	1381335
101884	102831	1381336
102930	105110	1381337
105151	106539	1381338
107471	108325	1381339
108290	110313	2139
110392	110724	1381340
110808	111224	1381341
111585	112559	1381342
113025	114188	1381343
114319	114624	1381344
114874	116477	2140
116518	117693	1381345
117869	118336	1381346
118333	119962	2141
120298	120537	1382271
120719	121660	1381347
121706	121990	1381348
122287	123405	1381349
123501	124348	2142
124452	126443	1381350
126639	127064	1381351
127186	129710	2143
129791	130186	1381352
130167	131039	1381353
131116	131790	1381354
131877	132407	1381355
132483	134177	2144
134437	138112	2145
138295	140535	1381356
140585	141007	1381357
141123	141416	1381358
141648	142442	1381359
142559	143826	2146
144061	145081	2147
145164	145529	1381360
145761	146615	1381361
146724	146831	1381362
146980	147894	1381363
148022	149683	2148
149889	150455	1381364
150594	153050	2149
153622	153996	1381365
154143	156258	2150
156391	156651	1381366
156741	158615	2151
158757	159737	1381367
159812	160093	2152
160258	161058	1381368
161088	161642	1381369
161768	163663	1381370
164037	168152	2153
168533	169921	1381371
169934	170566	1381372
170572	171840	1381373
171939	176139	2154
176256	176501	1381374
176693	178038	2155
178237	182221	2156
182354	183298	1381375
183493	183849	1381376
183935	185636	2157
185772	188898	2158
189128	189715	1381377
190033	190818	1381378
190815	191954	1381379
192136	192783	1381380
192870	195617	2159
195685	196305	1381381
196611	200185	2160
200405	204395	2161
204604	206397	1381382
206863	208338	1381383
208549	209427	1381384
209527	209826	1381385
209896	210546	1381386
210781	211629	1381387
211734	213068	1381388
213031	215037	1381389
215504	218327	2162
218407	219077	2163
219206	219517	1381390
219979	221463	1381391
221742	223596	2164
223673	224806	1381392
224897	226363	1381393
226928	228812	2165
228866	230566	1381394
230658	231839	1381395
232008	234038	1381396
234305	234838	1381397
234905	237438	2166
237600	238745	2167
238804	242047	2168
242246	244144	2169
244160	247569	2170
247619	248713	1381398
249062	251641	2171
251758	255629	2172
255823	256305	1381399
256647	258175	2173
258227	259363	1381400
259702	260271	1381401
260463	261638	1381402
261863	263965	2174
264190	264477	1381403
264516	265938	2175
265995	266600	1381404
266702	268471	1381405
268789	271369	2176
271600	273357	1381406
273802	276283	2177
276429	279561	2178
279512	282700	2179
283060	285080	2180
285144	285938	1381407
286164	287843	1381408
287929	289104	1381409
289322	291174	2181
291626	292708	1381410
292790	293669	2182
293878	294963	1381411
295076	297343	1381412
297493	297888	1381413
298083	298580	1381414
299522	300883	1381415
301110	302354	1381416
302367	303190	2183
303424	303621	1381417
303939	308076	2184
308114	309418	1381418
309649	313715	2185
313705	316904	2186
317127	317849	1381419
317984	318897	2187
319096	320529	1381420
320785	321447	1381421
321699	323606	1381422
323805	327552	2188
327604	331060	2189
331144	334485	2190
334568	335623	1381423
335819	336582	2191
336747	342759	2192
343026	343559	1381424
343863	344720	1381425
344744	345298	1381426
345536	347806	1381427
348384	348734	1381428
348701	350298	2193
350509	352101	2194
352263	359350	2195
359668	364996	2196
365274	368910	2197
369149	372509	2198
372811	379913	2199
380030	383794	2200
384050	386012	2201
386177	389201	2202
389175	390634	2203
390905	391729	1381429
391899	393849	2204
393996	396941	2205
397037	398361	2206
398441	402048	2207
402290	404427	2208
404545	410184	1381430
410315	414544	1381431
414871	415404	1381432
415562	420264	2209
420502	421731	1381433
421765	422612	2210
422772	429614	2211
429810	430169	1381434
430424	431044	1381435
431350	432795	1381436
432779	436158	2212
436234	437265	1381437
437705	439118	2213
439184	440437	1381438
440610	441986	1381439
442164	443933	1381440
443913	445924	2214
446230	448979	2215
449166	450041	1381441
450740	452922	2216
453214	454446	1381442
454712	456586	1381443
456975	458297	1381444
458408	458857	1381445
459200	460096	1381446
460250	460690	1381447
460956	461960	1381448
462147	462554	1381449
462809	463678	1381450
463690	465561	2217
465927	467037	2218
467201	467813	2219
467836	468666	1381451
469001	469546	1381452
469592	470914	1381453
471080	472930	1381454
473414	473662	1381455
473953	474432	2220
474789	477399	2221
477668	482320	1381456
482542	482703	1381457
482945	484564	2222
484799	487353	2223
487287	489377	1381458
489722	496006	2224
496450	497844	1381459
498076	501096	1381460
501178	501990	1381461
502042	506159	2225
506252	508027	1381462
508515	514633	2226
514847	520272	2227
520682	522853	2228
523016	524114	2229
524346	530688	2230
530717	531235	1381463
531446	532867	1381464
533086	539020	2231
539288	539854	1381465
540098	542065	2232
542105	542596	1381466
542803	543342	1381467
543468	544871	1381468
545029	545588	2233
545591	547874	2234
548236	549132	1381469
549129	549701	1381470
549994	550329	1381471
550563	552170	1381472
552220	552867	1381473
553065	554019	2235
554289	554546	1381474
554727	555050	1381475
555262	556946	2236
557423	558979	1381476
559015	561963	2237
562557	563290	2238
563448	565925	1381477
566059	566805	1381478
566983	568905	1381479
569141	572567	2239
572736	572909	1381480
573494	576127	2240
576139	579768	2241
579646	581055	2242
581052	582162	2243
582238	582477	1381481
582481	583573	2244
583680	586342	2245
586858	594243	2246
594454	596311	2247
596498	597247	1382262
597591	598487	1381482
598484	598930	1381483
599062	599913	1381484
599910	603257	2248
603443	604726	1381485
605541	606035	1381486
606465	608594	1381487
609469	610487	2249
611057	612832	1381488
613102	615269	2250
615266	615703	1381489
615968	616324	1381490
616456	617178	2251
617390	618715	2252
619215	622247	2253
622300	624594	2254
624899	627425	2255
627572	630504	2256
630555	631592	1381491
631896	632093	1381492
632213	633157	1381493
633789	636247	2257
636372	637523	1381494
637666	637956	1381495
637993	640613	2258
640737	643482	2259
643549	645497	2260
646129	658047	1381496
658262	660584	2261
660772	664315	2262
664394	667375	2263
667447	667842	1381497
667852	668481	1381498
668776	670949	2264
671006	671707	1381499
671912	673612	2265
673889	676354	2266
676351	679023	2267
679295	679510	1381500
679690	682675	2268
682854	683117	1381501
683140	690252	2269
690399	692576	2270
693211	695874	2271
695975	698458	2272
698723	700814	2273
701138	701350	1381502
701343	704845	2274
705307	706017	1381503
706055	707131	1381504
707437	708812	2275
709045	709797	1381505
710036	712783	2276
712931	713779	1381506
713774	714178	1381507
714465	716153	1381508
716309	721247	2277
