id	gene	start	end	strand	name	cat	clr
slr0611	gene	-200	772	+	solanesyl diphosphate synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
slr0612	gene	802	1494	+	probable pseudouridine synthase	Translation	#00bfff
slr0613	gene	1577	2098	+	hypothetical protein	hypothetical protein	#9966CC
sll0558	gene	2172	2873	-	hypothetical protein YCF53	hypothetical protein	#9966CC
sll1214	gene	3192	4268	-	hypothetical protein YCF59	hypothetical protein	#9966CC
sll1213	gene	4451	5389	-	GDP-fucose synthetase	Cell envelope	#fa8072
sll1212	gene	5534	6622	-	GDP-mannose 4,6-dehydratase	Energy metabolism	#ff0000
slr1311	gene	7229	8311	+	photosystem II D1 protein	Photosynthesis and respiration	#6b8e23
slr1312	gene	8492	10471	+	arginine decarboxylase	Energy metabolism	#ff0000
sll1209	gene	10622	12631	-	DNA ligase	Not curated completely	#9900CC
slr1315	gene	12755	13363	+	hypothetical protein	hypothetical protein	#9966CC
slr1316	gene	13498	14529	+	ABC-type iron(III) dicitrate transport system permease protein	Transport and binding proteins	#00ff00
slr1317	gene	14626	15675	+	ABC-type iron(III) dicitrate transport system permease protein	Transport and binding proteins	#00ff00
slr1318	gene	15937	16743	+	iron(III) dicitrate transport system ATP-binding protein	Transport and binding proteins	#00ff00
slr1319	gene	16740	17687	+	iron(III) dicitrate transport system substrate-binding protein	Transport and binding proteins	#00ff00
sll1206	gene	17853	20408	-	ferric aerobactin receptor, FhuA homolog	Transport and binding proteins	#00ff00
sll1205	gene	20615	21595	-	transcriptional regulator	Regulatory functions	#ffd700
sll1204	gene	21838	23121	-	similar to macrolide efflux protein	Transport and binding proteins	#00ff00
sll1203	gene	23139	24104	-	hypothetical protein	hypothetical protein	#9966CC
sll1202	gene	24101	25144	-	iron(III) dicitrate-binding protein of ABC transporter, FecB homolog	Transport and binding proteins	#00ff00
sll1409	gene	25266	27857	-	ferrichrome-iron receptor	Transport and binding proteins	#00ff00
sll1408	gene	27990	29030	-	transcriptional regulator	Regulatory functions	#ffd700
sll1407	gene	29098	29895	-	probable methyltransferase	Other categories	#000000
sll1406	gene	29968	32454	-	ferrichrome-iron receptor	Transport and binding proteins	#00ff00
sll1405	gene	32524	32952	-	biopolymer transport ExbD protein homolog	Transport and binding proteins	#00ff00
sll1404	gene	32912	33544	-	biopolymer transport ExbB protein homolog	Transport and binding proteins	#00ff00
slr1484	gene	33891	35489	+	unknown protein	unknown	#CC9999
slr1485	gene	35566	36615	+	putative phosphatidylinositol phosphate kinase, salt-induced periplasmic protein	Putative	#CC99FF
slr1488	gene	36721	38538	+	multidrug resistance family ABC transporter	Transport and binding proteins	#00ff00
slr1489	gene	38644	39636	+	transcriptional regulator	Regulatory functions	#ffd700
slr1490	gene	39802	42363	+	ferrichrome-iron receptor	Transport and binding proteins	#00ff00
slr1491	gene	42405	43397	+	iron(III) dicitrate transport system substrate-binding protein	Transport and binding proteins	#00ff00
slr1492	gene	43571	44506	+	iron(III) dicitrate transport system substrate-binding protein	Transport and binding proteins	#00ff00
slr1493	gene	44511	44885	+	hypothetical protein	hypothetical protein	#9966CC
slr1494	gene	44948	46789	+	MDR (multidrug resistance) family ABC transporter	Transport and binding proteins	#00ff00
sll1401	gene	47007	48017	-	unknown protein	unknown	#CC9999
sll1400	gene	48067	48408	-	hypothetical protein	hypothetical protein	#9966CC
ssl2733	gene	48405	48635	-	hypothetical protein	hypothetical protein	#9966CC
sll1399	gene	48663	49868	-	hypothetical protein	hypothetical protein	#9966CC
sll1398	gene	49893	50231	-	photosystem II reaction center 13 kDa protein	Photosynthesis and respiration	#6b8e23
slr1495	gene	50246	51895	+	hypothetical protein	hypothetical protein	#9966CC
slr1496	gene	52023	52364	+	putative transposase	Other categories	#000000
sll1397	gene	52260	53108	-	putative transposase [ISY100a	Putative	#CC99FF
sll1396	gene	53453	54127	-	unknown protein	unknown	#CC9999
slr1498	gene	54533	55657	+	putative hydrogenase expression/formation protein HypD	Other categories	#000000
sll1395	gene	55669	56511	-	dTDP-6-deoxy-L-mannose-dehydrogenase	Cell envelope	#fa8072
sll1394	gene	56556	57224	-	peptide methionine sulfoxide reductase	Translation	#00bfff
sll1393	gene	57340	58815	-	glycogen (starch) synthase	Central intermediary metabolism	#006400
sll1392	gene	59039	59650	-	transcriptional regulator	Regulatory functions	#ffd700
slr1501	gene	59746	60423	+	probable acetyltransferase	Other categories	#000000
slr1113	gene	60524	61522	+	ATP-binding protein of ABC transporter	Transport and binding proteins	#00ff00
slr1114	gene	61834	63591	+	hypothetical protein	hypothetical protein	#9966CC
slr1115	gene	63588	64361	+	probable methyltransferase	Other categories	#000000
slr1116	gene	64393	64914	+	hypothetical protein	hypothetical protein	#9966CC
slr1117	gene	64987	65748	+	hypothetical protein	hypothetical protein	#9966CC
sll1064	gene	65827	67533	-	hypothetical protein	hypothetical protein	#9966CC
