id	gene	start	end	strand	name	cat	clr
slr0611	gene	-200	772	+	solanesyl diphosphate synthase	COG0142H	#FFA4A4
slr0612	gene	802	1494	+	probable pseudouridine synthase	COG1187J	#0066FF
slr0613	gene	1577	2098	+	hypothetical protein	-	#333333
sll0558	gene	2172	2873	-	hypothetical protein YCF53	-	#333333
sll1214	gene	3192	4268	-	hypothetical protein YCF59	-	#333333
sll1213	gene	4451	5389	-	GDP-fucose synthetase	COG0451MG	#D568FD
sll1212	gene	5534	6622	-	GDP-mannose 4,6-dehydratase	COG1089M	#A6CAA9
slr1311	gene	7229	8311	+	photosystem II D1 protein	-	#333333
slr1312	gene	8492	10471	+	arginine decarboxylase	COG1166E	#FF7373
sll1209	gene	10622	12631	-	DNA ligase	COG0272L	#00FFFF
slr1315	gene	12755	13363	+	hypothetical protein	COG4636S	#C98767
slr1316	gene	13498	14529	+	ABC-type iron(III) dicitrate transport system permease protein	COG0609P	#CC3333
slr1317	gene	14626	15675	+	ABC-type iron(III) dicitrate transport system permease protein	COG0609P	#CC3333
slr1318	gene	15937	16743	+	iron(III) dicitrate transport system ATP-binding protein	COG1120PH	#D97BFD
slr1319	gene	16740	17687	+	iron(III) dicitrate transport system substrate-binding protein	COG0614P	#CC3333
sll1206	gene	17853	20408	-	ferric aerobactin receptor, FhuA homolog	COG1629P	#CC3333
sll1205	gene	20615	21595	-	transcriptional regulator	COG2207K	#99CCFF
sll1204	gene	21838	23121	-	similar to macrolide efflux protein	-	#333333
sll1203	gene	23139	24104	-	hypothetical protein	COG4759O	#72FE95
sll1202	gene	24101	25144	-	iron(III) dicitrate-binding protein of ABC transporter, FecB homolog	COG0614P	#CC3333
sll1409	gene	25266	27857	-	ferrichrome-iron receptor	COG1629P	#CC3333
sll1408	gene	27990	29030	-	transcriptional regulator	COG2207K	#99CCFF
sll1407	gene	29098	29895	-	probable methyltransferase	COG2226H	#FFA4A4
sll1406	gene	29968	32454	-	ferrichrome-iron receptor	COG4774P	#CC3333
sll1405	gene	32524	32952	-	biopolymer transport ExbD protein homolog	COG0848U	#4BFE78
sll1404	gene	32912	33544	-	biopolymer transport ExbB protein homolog	COG0811U	#4BFE78
slr1484	gene	33891	35489	+	unknown protein	-	#333333
slr1485	gene	35566	36615	+	putative phosphatidylinositol phosphate kinase, salt-induced periplasmic protein	COG4642S	#C98767
slr1488	gene	36721	38538	+	multidrug resistance family ABC transporter	COG1132V	#80B584
slr1489	gene	38644	39636	+	transcriptional regulator	COG2207K	#99CCFF
slr1490	gene	39802	42363	+	ferrichrome-iron receptor	COG1629P	#CC3333
slr1491	gene	42405	43397	+	iron(III) dicitrate transport system substrate-binding protein	COG0614P	#CC3333
slr1492	gene	43571	44506	+	iron(III) dicitrate transport system substrate-binding protein	COG0614P	#CC3333
slr1493	gene	44511	44885	+	hypothetical protein	COG5469S	#C98767
slr1494	gene	44948	46789	+	MDR (multidrug resistance) family ABC transporter	COG1132V	#80B584
sll1401	gene	47007	48017	-	unknown protein	-	#333333
sll1400	gene	48067	48408	-	hypothetical protein	COG4634S	#C98767
ssl2733	gene	48405	48635	-	hypothetical protein	COG2442S	#C98767
sll1399	gene	48663	49868	-	hypothetical protein	-	#333333
sll1398	gene	49893	50231	-	photosystem II reaction center 13 kDa protein	-	#333333
slr1495	gene	50246	51895	+	hypothetical protein	COG1199KL	#DD88FD
slr1496	gene	52023	52364	+	putative transposase	NA	#333333
sll1397	gene	52260	53108	-	putative transposase [ISY100a: 52234 - 53180]	COG3335L	#00FFFF
sll1396	gene	53453	54127	-	unknown protein	-	#333333
slr1498	gene	54533	55657	+	putative hydrogenase expression/formation protein HypD	COG0409O	#72FE95
sll1395	gene	55669	56511	-	dTDP-6-deoxy-L-mannose-dehydrogenase	COG1091M	#A6CAA9
sll1394	gene	56556	57224	-	peptide methionine sulfoxide reductase	COG0225O	#72FE95
sll1393	gene	57340	58815	-	glycogen (starch) synthase	COG0297G	#FF5353
sll1392	gene	59039	59650	-	transcriptional regulator	COG1309K	#99CCFF
