"query_gi" "subject_gi" "%_identity" "alignment_length" "mismatches" "gap_opens" "q_start" "q_end" "s_start" "s_end" "evalue" "bit_score"
"1" 109150011 384435348 100 84 0 0 1 84 1 84 4e-56 173
"2" 109150011 383490082 100 84 0 0 1 84 1 84 4e-56 173
"3" 109150011 383324198 100 84 0 0 1 84 1 84 4e-56 173
"4" 109150011 383321028 100 84 0 0 1 84 1 84 4e-56 173
"5" 109150011 109150011 100 84 0 0 1 84 1 84 4e-56 173
"6" 109150011 218439318 60.24 83 33 0 1 83 1 83 8e-32 111
"7" 109150011 428311605 61.9 84 32 0 1 84 1 84 2e-31 110
"8" 109150011 257061167 60.71 84 33 0 1 84 1 84 3e-31 109
"9" 109150011 218247497 60.71 84 33 0 1 84 1 84 3e-31 109
"10" 109150011 186685819 59.04 83 34 0 1 83 1 83 4e-31 109
"11" 109150011 427729968 64.47 76 27 0 1 76 1 76 4e-31 109
"12" 109150011 434392328 59.52 84 34 0 1 84 1 84 1e-30 108
"13" 109150011 427734945 61.25 80 31 0 1 80 1 80 5e-30 106
"14" 109150011 307155149 58.75 80 33 0 1 80 1 80 7e-30 106
"15" 109150011 172036755 60 80 32 0 1 80 1 80 8e-30 106
"16" 109150011 428305130 57.83 83 35 0 1 83 1 83 2e-29 105
"17" 109150011 434400153 58.54 82 34 0 1 82 1 82 2e-29 105
"18" 109150011 428203348 59.04 83 34 0 1 83 1 83 2e-29 105
"19" 109150011 427717272 57.83 83 35 0 1 83 1 83 3e-29 105
"20" 109150011 427709380 61.25 80 31 0 1 80 1 80 3e-29 104
"21" 109150011 75908090 58.75 80 33 0 1 80 1 80 3e-29 104
"22" 109150011 428778613 55 80 36 0 1 80 1 80 5e-29 104
"23" 109150011 434406917 56.63 83 36 0 1 83 1 83 5e-29 104
"24" 109150011 427725708 59.74 77 31 0 4 80 5 81 7e-29 103
"25" 109150011 17231322 58.75 80 33 0 1 80 1 80 8e-29 103
"26" 109150011 428215960 58.75 80 33 0 1 80 1 80 1e-28 103
"27" 109150011 428296823 60 80 32 0 1 80 1 80 2e-28 103
"28" 109150011 158341246 57.5 80 34 0 1 80 1 80 4e-28 102
"29" 109150011 428776983 53.75 80 37 0 1 80 1 80 4e-28 101
"30" 109150011 158337243 57.5 80 34 0 1 80 1 80 4e-28 101
"31" 109150011 440682396 55 80 36 0 1 80 1 80 7e-28 101
"32" 109150011 298490032 54.22 83 38 0 1 83 1 83 7e-28 101
"33" 109150011 414079526 56.25 80 35 0 1 80 1 80 1e-27 100
"34" 109150011 428320318 55.42 83 37 0 1 83 1 83 1e-27 100
"35" 109150011 428225957 57.32 82 35 0 1 82 1 82 2e-27 100
"36" 109150011 22299479 57.5 80 34 0 1 80 2 81 3e-27 99.8
"37" 109150011 571027973 57.5 80 34 0 1 80 2 81 4e-27 99.4
"38" 109150011 479128982 56.1 82 36 0 1 82 7 88 6e-27 99
"39" 109150011 166364175 55 80 36 0 4 83 6 85 1e-26 98.2
"40" 109150011 220907503 58.75 80 33 0 1 80 1 80 1e-26 97.8
"41" 109150011 427711769 56.1 82 36 0 1 82 1 82 2e-26 98.6
"42" 109150011 81300830 51.25 80 39 0 4 83 7 86 4e-25 94.4
"43" 109150011 56752083 51.25 80 39 0 4 83 7 86 4e-25 94.4
"44" 109150011 37522220 57.33 75 32 0 6 80 29 103 3e-24 93.2
"45" 109150011 170077377 51.25 80 39 0 1 80 1 80 3e-24 91.7
"46" 109150011 428218583 53.49 86 36 2 1 82 1 86 9e-24 90.5
"47" 109150011 554635443 56 75 33 0 6 80 5 79 3e-23 89.4
"48" 109150011 428210038 50.59 85 41 1 1 84 1 85 2e-22 87.4
"49" 109150011 428222293 51.25 80 37 1 1 80 1 78 3e-22 86.7
"50" 109150011 434389193 42.68 82 43 1 1 78 1 82 1e-21 85.1
"51" 109150011 113477414 48.15 81 41 1 1 80 1 81 1e-21 84.7
"52" 109150011 428774276 44.74 76 42 0 4 79 5 80 1e-19 79.7
"53" 109150011 148243068 47.44 78 41 0 3 80 5 82 4e-19 78.6
"54" 109150011 33241097 49.33 75 37 1 6 80 8 81 7e-19 78.2
"55" 109150011 33863794 47.44 78 40 1 3 80 5 81 3e-18 76.3
"56" 109150011 78184170 47.44 78 40 1 3 80 5 81 6e-18 75.5
"57" 109150011 124022124 46.15 78 41 1 3 80 5 81 2e-17 74.3
"58" 109150011 86608607 50.7 71 35 0 6 76 8 78 3e-17 73.9
"59" 109150011 428769377 38.75 80 48 1 4 83 9 87 4e-17 73.6
"60" 109150011 78213596 46.15 78 41 1 3 80 5 81 6e-17 73.2
"61" 109150011 159904156 48 75 38 1 6 80 8 81 2e-16 72
"62" 109150011 148240414 48.1 79 40 1 3 81 6 83 2e-16 71.6
"63" 109150011 33865133 46.15 78 41 1 3 80 5 81 2e-16 71.6
"64" 109150011 86606964 52.31 65 31 0 6 70 8 72 1e-15 69.7
"65" 109150011 113954953 43.9 82 44 2 3 84 6 85 8e-15 67.4
"66" 109150011 72382862 40 80 47 1 3 82 5 83 2e-14 66.6
"67" 109150011 124026599 40 80 47 1 3 82 5 83 2e-14 66.2
"68" 109150011 427704220 52.56 78 36 1 3 80 8 84 1e-13 64.7
"69" 109150011 123969229 31.25 80 54 1 3 82 6 84 3e-09 52.4
"70" 109150011 126697022 31.25 80 54 1 3 82 6 84 7e-09 51.6
"71" 109150011 78779970 30 80 55 1 3 82 6 84 9e-09 51.2
"72" 109150011 33862049 36.73 49 30 1 2 50 5 52 2e-05 41.6
"73" 109150011 123966906 30.43 46 32 0 32 77 11 56 0.001 35.8
"74" 109150011 157414095 29.55 44 31 0 39 82 2 45 0.016 33.1
"75" 109150011 75812647 35.9 39 20 1 8 46 232 265 0.51 30.8
"76" 109150011 186686718 32.5 40 22 1 8 47 232 266 0.87 30
"77" 109150011 17227376 33.33 39 21 1 8 46 232 265 2.1 28.9
"78" 109150011 428204693 29.09 55 37 1 11 63 383 437 9.3 26.9
