idone	gname	id	cog	ref.prot
16329172	-	slr0612	COG1187J	NP_439900.1
16329173	-	slr0613	-	NP_439901.1
16329174	-	sll0558	-	NP_439902.1
16329171	sds	slr0611	COG0142H	NP_439899.1
16329176	-	sll1213	COG0451MG	NP_439904.1
16329177	rfbD	sll1212	COG1089M	NP_439905.1
16329178	psbA2	slr1311	-	NP_439906.1
16329175	-	sll1214	-	NP_439903.1
16329180	ligA	sll1209	COG0272L	NP_439908.1
16329181	-	slr1315	COG4636S	NP_439909.1
16329182	fecC	slr1316	COG0609P	NP_439910.1
16329183	fecD	slr1317	COG0609P	NP_439911.1
16329184	fecE	slr1318	COG1120PH	NP_439912.1
16329185	fecB	slr1319	COG0614P	NP_439913.1
16329186	iutA	sll1206	COG1629P	NP_439914.1
16329187	pchR	sll1205	COG2207K	NP_439915.1
16329188	-	sll1204	-	NP_439916.1
16329189	-	sll1203	COG4759O	NP_439917.1
16329190	-	sll1202	COG0614P	NP_439918.1
16329191	fhuA	sll1409	COG1629P	NP_439919.1
16329192	pcrR	sll1408	COG2207K	NP_439920.1
16329193	-	sll1407	COG2226H	NP_439921.1
16329194	fhuA	sll1406	COG4774P	NP_439922.1
16329195	-	sll1405	COG0848U	NP_439923.1
16329196	exbB	sll1404	COG0811U	NP_439924.1
16329197	-	slr1484	-	NP_439925.1
16329198	-	slr1485	COG4642S	NP_439926.1
16329199	-	slr1488	COG1132V	NP_439927.1
16329200	pchR	slr1489	COG2207K	NP_439928.1
16329201	fhuA	slr1490	COG1629P	NP_439929.1
16329202	fecB	slr1491	COG0614P	NP_439930.1
16329203	fecB	slr1492	COG0614P	NP_439931.1
16329204	-	slr1493	COG5469S	NP_439932.1
16329205	-	slr1494	COG1132V	NP_439933.1
16329206	-	sll1401	-	NP_439934.1
16329207	-	sll1400	COG4634S	NP_439935.1
16329208	-	ssl2733	COG2442S	NP_439936.1
16329209	-	sll1399	-	NP_439937.1
16329210	psb13	sll1398	-	NP_439938.1
16329211	-	slr1495	COG1199KL	NP_439939.1
16329212	-	sll1397	COG3335L	NP_439940.1
16329213	-	sll1396	-	NP_439941.1
16329214	hypD	slr1498	COG0409O	NP_439942.1
16329215	rfbD	sll1395	COG1091M	NP_439943.1
16329216	msrA	sll1394	COG0225O	NP_439944.1
16329217	glgA	sll1393	COG0297G	NP_439945.1
16329218	-	sll1392	COG1309K	NP_439946.1
16329179	speA	slr1312	COG1166E	NP_439907.1
16329220	-	slr1113	COG1131V	NP_439948.1
16329221	-	slr1114	-	NP_439949.1
16329222	-	slr1115	COG2226H	NP_439950.1
16329223	-	slr1116	COG2318S	NP_439951.1
16329224	-	slr1117	COG2226H	NP_439952.1
16329225	-	sll1064	-	NP_439953.1
16329226	rffM	slr1118	COG1922M	NP_439954.1
16329227	-	sll1063	COG1214O	NP_439955.1
16329228	-	slr1119	COG2755E	NP_439956.1
16329229	-	sll1062	-	NP_439957.1
16329230	-	sll1061	COG5185	NP_439958.1
16329231	-	sll1060	COG1615S	NP_439959.1
16329232	-	ssl2069	-	NP_439960.1
16329233	-	ssr1853	-	NP_439961.1
16329234	hofD	slr1120	COG1989NOU	NP_439962.1
16329235	adk	sll1059	COG0563F	NP_439963.1
16329236	dapB	sll1058	COG0289E	NP_439964.1
16329237	trx	sll1057	COG3118O	NP_439965.1
16329238	purL	sll1056	COG0046F	NP_439966.1
16329239	-	slr1122	-	NP_439967.1
16329240	-	sll1054	COG0494LR	NP_439968.1
16329241	-	sll1053	COG0845M	NP_439969.1
16329242	gmk	slr1123	COG0194F	NP_439970.1
16329244	crtX	slr1125	COG1819GC	NP_439972.1
16329245	-	sll1052	COG0730R	NP_439973.1
16329246	cpcF	sll1051	COG1413C	NP_439974.1
16329247	-	sll1049	COG1305E	NP_439975.1
16329248	-	slr1127	-	NP_439976.1
16329249	-	slr1128	COG0330O	NP_439977.1
16329250	rne	slr1129	COG1530J	NP_439978.1
16329251	rhnB	slr1130	COG0164L	NP_439979.1
16329252	mutT	sll1045	COG1051F	NP_439980.1
16329253	pnp	sll1043	COG1185J	NP_439981.1
16329254	lepB	sll0716	COG0681U	NP_439982.1
16329255	me	slr0721	COG0281C	NP_439983.1
16329256	cysM	sll0712	COG0031E	NP_439984.1
16329257	-	sll0711	COG1947I	NP_439985.1
16329258	-	sll0710	-	NP_439986.1
16329259	llaI.2	sll0709	COG1401V	NP_439987.1
16329219	-	slr1501	-	NP_439947.1
16329261	-	slr0722	COG1385S	NP_439989.1
16329262	-	slr0723	-	NP_439990.1
16329263	sohA	slr0724	COG2002K	NP_439991.1
16329264	-	slr0725	-	NP_439992.1
16329265	-	slr0727	-	NP_439993.1
16329266	-	slr0728	COG3307M	NP_439994.1
16329267	-	slr0729	-	NP_439995.1
16329268	-	slr0730	-	NP_439996.1
16329269	-	slr0731	-	NP_439997.1
16329270	nifS	sll0704	COG1104E	NP_439998.1
16329271	-	slr0732	COG3431S	NP_439999.1
16329272	-	sll0703	COG1249C	NP_440000.1
16329273	-	sll0702	-	NP_440001.1
16329274	xerC	slr0733	COG4974L	NP_440002.1
16329275	-	ssl1326	-	NP_440003.1
16329276	-	slr0734	COG0665E	NP_440004.1
16329277	-	sll0700	COG3335L	NP_440005.1
16329278	-	sll0699	COG3415L	NP_440006.1
16329279	dfr	sll0698	COG5002T	NP_440007.1
16329280	psaD	slr0737	-	NP_440008.1
16329281	trpE	slr0738	COG0147EH	NP_440009.1
16329282	crtE	slr0739	COG0142H	NP_440010.1
16329283	-	slr0740	-	NP_440011.1
16329284	-	sll0696	-	NP_440012.1
16329285	phoU	slr0741	COG0704P	NP_440013.1
16329286	-	slr0742	COG0779S	NP_440014.1
16329287	nusA	slr0743	COG0195K	NP_440015.1
16329288	infB	slr0744	COG0532J	NP_440016.1
16329289	-	slr0236	COG0625O	NP_440017.1
16329290	glgX	slr0237	COG1523G	NP_440018.1
16329291	-	slr0238	-	NP_440019.1
16329292	-	ssl0426	COG3335L	NP_440020.1
16329293	cbiF	slr0239	COG2875H	NP_440021.1
16329294	-	slr0240	COG3682K	NP_440022.1
16329295	-	slr0241	COG0501O	NP_440023.1
16329296	bcp	slr0242	COG1225O	NP_440024.1
16329297	-	slr0243	-	NP_440025.1
16329298	-	sll0230	COG0011S	NP_440026.1
16329299	-	slr0244	COG0589T	NP_440027.1
16329300	psbM	sml0003	-	NP_440028.1
16329301	-	slr0245	COG0123BQ	NP_440029.1
16329302	-	sll0228	COG0010E	NP_440030.1
16329303	ppiB	sll0227	COG0652O	NP_440031.1
16329304	ycf4	sll0226	-	NP_440032.1
16329305	-	sll0225	-	NP_440033.1
16329306	-	sll0224	COG0834ET	NP_440034.1
16329307	-	slr0249	-	NP_440035.1
16329308	-	slr0250	COG1934S	NP_440036.1
16329309	-	slr0251	COG1137R	NP_440037.1
16329310	cobK	slr0252	COG2099H	NP_440038.1
16329311	psaK	ssr0390	-	NP_440039.1
16329312	-	ssl0410	-	NP_440040.1
16329313	ndhB	sll0223	COG1007C	NP_440041.1
16329314	phoA	sll0222	COG1409R	NP_440042.1
16329315	-	sgl0002	-	NP_440043.1
16329316	ycf6	sml0004	-	NP_440044.1
16329317	-	slr0254	COG1714S	NP_440045.1
16329318	bcp	sll0221	COG1225O	NP_440046.1
16329319	glmS	sll0220	COG0449M	NP_440047.1
16329320	-	sll0219	COG0426C	NP_440048.1
16329321	-	sll0218	COG3431S	NP_440049.1
16329322	-	sll0217	COG0426C	NP_440050.1
16329323	ctpB	slr0257	COG0793M	NP_440051.1
16329324	-	sll0216	COG0009J	NP_440052.1
16329325	-	slr1411	COG1641S	NP_440053.1
16329326	atpC	sll1327	COG0224C	NP_440054.1
16329327	atpA	sll1326	COG0056C	NP_440055.1
16329328	atpD	sll1325	COG0712C	NP_440056.1
16329329	atpF	sll1324	COG0711C	NP_440057.1
16329330	atpG	sll1323	COG0711C	NP_440058.1
16329331	atpH	ssl2615	COG0636C	NP_440059.1
16329332	atpI	sll1322	COG0356C	NP_440060.1
16329333	atp1	sll1321	-	NP_440061.1
16329334	-	slr1413	COG3597S	NP_440062.1
16329335	-	slr1414	COG0642T	NP_440063.1
16329336	-	slr1415	-	NP_440064.1
16329337	morR	slr1416	COG0714R	NP_440065.1
16329338	-	slr1417	COG0316S	NP_440066.1
16329339	-	sll1319	COG5006R	NP_440067.1
16329340	-	sll1318	-	NP_440068.1
16329341	-	sll1041	COG1127Q	NP_440069.1
16329342	-	sll1040	COG0668M	NP_440070.1
16329343	folK	slr1093	COG0801H	NP_440071.1
16329344	-	slr1094	COG4328S	NP_440072.1
