id	cog	clr
slr0611	COG0142H	#FFA4A4
slr0612	COG1187J	#0066FF
slr0613	-	#333333
sll0558	-	#333333
sll1214	-	#333333
sll1213	COG0451MG	#D568FD
sll1212	COG1089M	#A6CAA9
slr1311	-	#333333
slr1312	COG1166E	#FF7373
sll1209	COG0272L	#00FFFF
slr1315	COG4636S	#C98767
slr1316	COG0609P	#CC3333
slr1317	COG0609P	#CC3333
slr1318	COG1120PH	#D97BFD
slr1319	COG0614P	#CC3333
sll1206	COG1629P	#CC3333
sll1205	COG2207K	#99CCFF
sll1204	-	#333333
sll1203	COG4759O	#72FE95
sll1202	COG0614P	#CC3333
sll1409	COG1629P	#CC3333
sll1408	COG2207K	#99CCFF
sll1407	COG2226H	#FFA4A4
sll1406	COG4774P	#CC3333
sll1405	COG0848U	#4BFE78
sll1404	COG0811U	#4BFE78
slr1484	-	#333333
slr1485	COG4642S	#C98767
slr1488	COG1132V	#80B584
slr1489	COG2207K	#99CCFF
slr1490	COG1629P	#CC3333
slr1491	COG0614P	#CC3333
slr1492	COG0614P	#CC3333
slr1493	COG5469S	#C98767
slr1494	COG1132V	#80B584
sll1401	-	#333333
sll1400	COG4634S	#C98767
ssl2733	COG2442S	#C98767
sll1399	-	#333333
sll1398	-	#333333
slr1495	COG1199KL	#DD88FD
sll1397	COG3335L	#00FFFF
sll1396	-	#333333
slr1498	COG0409O	#72FE95
sll1395	COG1091M	#A6CAA9
sll1394	COG0225O	#72FE95
sll1393	COG0297G	#FF5353
sll1392	COG1309K	#99CCFF
slr1501	-	#333333
slr1113	COG1131V	#80B584
slr1114	-	#333333
slr1115	COG2226H	#FFA4A4
slr1116	COG2318S	#C98767
slr1117	COG2226H	#FFA4A4
sll1064	-	#333333
slr1118	COG1922M	#A6CAA9
sll1063	COG1214O	#72FE95
slr1119	COG2755E	#FF7373
sll1062	-	#333333
sll1061	COG5185	#333333
sll1060	COG1615S	#C98767
ssl2069	-	#333333
ssr1853	-	#333333
slr1120	COG1989NOU	#E29BFD
sll1059	COG0563F	#FF8E8E
sll1058	COG0289E	#FF7373
sll1057	COG3118O	#72FE95
sll1056	COG0046F	#FF8E8E
slr1122	-	#333333
sll1054	COG0494LR	#E7A9FE
sll1053	COG0845M	#A6CAA9
slr1123	COG0194F	#FF8E8E
slr1125	COG1819GC	#EDBEFE
sll1052	COG0730R	#C27E3A
sll1051	COG1413C	#991616
sll1049	COG1305E	#FF7373
slr1127	-	#333333
slr1128	COG0330O	#72FE95
slr1129	COG1530J	#0066FF
slr1130	COG0164L	#00FFFF
sll1045	COG1051F	#FF8E8E
sll1043	COG1185J	#0066FF
sll0716	COG0681U	#4BFE78
slr0721	COG0281C	#991616
sll0712	COG0031E	#FF7373
sll0711	COG1947I	#FF3333
sll0710	-	#333333
sll0709	COG1401V	#80B584
sll0708	COG0030J	#0066FF
slr0722	COG1385S	#C98767
slr0723	-	#333333
slr0724	COG2002K	#99CCFF
slr0725	-	#333333
slr0727	-	#333333
slr0728	COG3307M	#A6CAA9
slr0729	-	#333333
slr0730	-	#333333
slr0731	-	#333333
sll0704	COG1104E	#FF7373
slr0732	COG3431S	#C98767
sll0703	COG1249C	#991616
sll0702	-	#333333
slr0733	COG4974L	#00FFFF
ssl1326	-	#333333
slr0734	COG0665E	#FF7373
sll0700	COG3335L	#00FFFF
sll0699	COG3415L	#00FFFF
sll0698	COG5002T	#93BF96
slr0737	-	#333333
slr0738	COG0147EH	#F0CBFE
slr0739	COG0142H	#FFA4A4
slr0740	-	#333333
sll0696	-	#333333
slr0741	COG0704P	#CC3333
slr0742	COG0779S	#C98767
slr0743	COG0195K	#99CCFF
slr0744	COG0532J	#0066FF
slr0236	COG0625O	#72FE95
slr0237	COG1523G	#FF5353
slr0238	-	#333333
ssl0426	COG3335L	#00FFFF
slr0239	COG2875H	#FFA4A4
slr0240	COG3682K	#99CCFF
slr0241	COG0501O	#72FE95
slr0242	COG1225O	#72FE95
slr0243	-	#333333
sll0230	COG0011S	#C98767
slr0244	COG0589T	#93BF96
sml0003	-	#333333
slr0245	COG0123BQ	#9669FE
sll0228	COG0010E	#FF7373
sll0227	COG0652O	#72FE95
sll0226	-	#333333
sll0225	-	#333333
sll0224	COG0834ET	#A27AFE
slr0249	-	#333333
slr0250	COG1934S	#C98767
slr0251	COG1137R	#C27E3A
slr0252	COG2099H	#FFA4A4
ssr0390	-	#333333
ssl0410	-	#333333
sll0223	COG1007C	#991616
sll0222	COG1409R	#C27E3A
sgl0002	-	#333333
sml0004	-	#333333
slr0254	COG1714S	#C98767
sll0221	COG1225O	#72FE95
sll0220	COG0449M	#A6CAA9
sll0219	COG0426C	#991616
sll0218	COG3431S	#C98767
sll0217	COG0426C	#991616
slr0257	COG0793M	#A6CAA9
sll0216	COG0009J	#0066FF
slr1411	COG1641S	#C98767
sll1327	COG0224C	#991616
sll1326	COG0056C	#991616
sll1325	COG0712C	#991616
sll1324	COG0711C	#991616
sll1323	COG0711C	#991616
ssl2615	COG0636C	#991616
sll1322	COG0356C	#991616
sll1321	-	#333333
slr1413	COG3597S	#C98767
slr1414	COG0642T	#93BF96
slr1415	-	#333333
slr1416	COG0714R	#C27E3A
slr1417	COG0316S	#C98767
sll1319	COG5006R	#C27E3A
sll1318	-	#333333
sll1041	COG1127Q	#993366
sll1040	COG0668M	#A6CAA9
slr1093	COG0801H	#FFA4A4
slr1094	COG4328S	#C98767
sll1039	COG2307S	#C98767
slr1095	COG4636S	#C98767
slr1096	COG1249C	#991616
slr1097	COG5474S	#C98767
slr1098	COG1413C	#991616
slr1099	COG0163H	#FFA4A4
slr1100	-	#333333
slr1102	COG2200T	#93BF96
slr1103	COG5001T	#93BF96
