start1	end1	start2	end2	idone	idtwo	strand
1026081	1026267	9169	9353	NC_000911	NC_003240	+
1077440	1077543	20402	20508	NC_000911	NC_003240	+
1080930	1081135	30695	30906	NC_000911	NC_003240	+
1104942	1105227	35679	35965	NC_000911	NC_003240	+
1537326	1537490	95883	96053	NC_000911	NC_003240	+
2269589	2270068	106174	106652	NC_000911	NC_003240	+
2275742	2275908	107271	107427	NC_000911	NC_003240	+
2641286	2641433	112605	112748	NC_000911	NC_003240	+
2641813	2641945	113129	113264	NC_000911	NC_003240	+
2873271	2873353	160364	160279	NC_000911	NC_003240	-
2895732	2895976	144114	143862	NC_000911	NC_003240	-
3051796	3054870	130215	127150	NC_000911	NC_003240	-
3055790	3056938	126077	124928	NC_000911	NC_003240	-
202069	202154	11857	11945	NC_000911	NC_003267	+
1583587	1583757	75744	75910	NC_000911	NC_003267	+
448392	448522	27704	27574	NC_000911	NC_003270	-
2756595	2758835	23940	21691	NC_000911	NC_003270	-
2766970	2767106	16096	15956	NC_000911	NC_003270	-
3310	4268	3982167	3981209	NC_000911	NC_003272	-
4463	5381	5745467	5746384	NC_000911	NC_003272	+
5523	6580	5746409	5747460	NC_000911	NC_003272	+
13969	14610	3091864	3091223	NC_000911	NC_003272	-
14827	14996	3091112	3090943	NC_000911	NC_003272	-
15154	15675	3090785	3090264	NC_000911	NC_003272	-
15980	16721	3090131	3089388	NC_000911	NC_003272	-
17854	19288	3086994	3085512	NC_000911	NC_003272	-
19433	19880	3085368	3084929	NC_000911	NC_003272	-
19937	20155	3084837	3084606	NC_000911	NC_003272	-
20799	21176	3083093	3083466	NC_000911	NC_003272	+
21297	21474	3083596	3083768	NC_000911	NC_003272	+
23129	25024	2629564	2627626	NC_000911	NC_003272	-
25260	26497	2627483	2626264	NC_000911	NC_003272	-
27902	27948	2624809	2624763	NC_000911	NC_003272	-
28162	28610	2619064	2618619	NC_000911	NC_003272	-
29984	30829	2615809	2614982	NC_000911	NC_003272	-
30886	31204	2614925	2614604	NC_000911	NC_003272	-
31280	31718	2614510	2614075	NC_000911	NC_003272	-
31784	31871	2614001	2613916	NC_000911	NC_003272	-
36796	37763	3133330	3132363	NC_000911	NC_003272	-
37836	38509	3132347	3131674	NC_000911	NC_003272	-
38799	39183	3129695	3129311	NC_000911	NC_003272	-
39191	39606	3120753	3120338	NC_000911	NC_003272	-
40104	40336	3118717	3118476	NC_000911	NC_003272	-
40382	41394	3118388	3117379	NC_000911	NC_003272	-
41424	42548	3117352	3116237	NC_000911	NC_003272	-
43786	44202	3116104	3115662	NC_000911	NC_003272	-
56581	57173	1999415	1998823	NC_000911	NC_003272	-
57347	58815	31728	30263	NC_000911	NC_003272	-
71025	72431	1209435	1208050	NC_000911	NC_003272	-
72477	72753	1207968	1207692	NC_000911	NC_003272	-
72889	73382	1207589	1207091	NC_000911	NC_003272	-
78776	79356	4406343	4406920	NC_000911	NC_003272	+
79357	80801	4406944	4408400	NC_000911	NC_003272	+
88875	90182	4088874	4087570	NC_000911	NC_003272	-
93111	94366	5184026	5185278	NC_000911	NC_003272	+
95233	95716	5186480	5186963	NC_000911	NC_003272	+
96356	98537	5269246	5271422	NC_000911	NC_003272	+
99658	100784	5494338	5495464	NC_000911	NC_003272	+
100852	101713	5295540	5294679	NC_000911	NC_003272	-
124489	125321	4233375	4232546	NC_000911	NC_003272	-
125395	126344	4232529	4231577	NC_000911	NC_003272	-
126529	127090	378141	377597	NC_000911	NC_003272	-
127187	128685	377472	375986	NC_000911	NC_003272	-
130436	130691	4625360	4625596	NC_000911	NC_003272	+
132042	132372	4627647	4627976	NC_000911	NC_003272	+
132393	133596	4628087	4629292	NC_000911	NC_003272	+
133929	134127	4629609	4629806	NC_000911	NC_003272	+
134334	134669	4630268	4630600	NC_000911	NC_003272	+
135132	135187	4631153	4631206	NC_000911	NC_003272	+
135247	137452	4631280	4633486	NC_000911	NC_003272	+
153204	153595	4950768	4950365	NC_000911	NC_003272	-
157184	158615	5818278	5819703	NC_000911	NC_003272	+
161881	162744	4176261	4175398	NC_000911	NC_003272	-
162824	163660	4175321	4174476	NC_000911	NC_003272	-
164368	165796	5328566	5329995	NC_000911	NC_003272	+
165862	166324	5330020	5330488	NC_000911	NC_003272	+
166398	168153	5330652	5332403	NC_000911	NC_003272	+
171975	172946	3457	4418	NC_000911	NC_003272	+
173122	174563	4568	6016	NC_000911	NC_003272	+
174617	174753	6166	6300	NC_000911	NC_003272	+
174788	175647	6337	7194	NC_000911	NC_003272	+
175690	176139	7344	7795	NC_000911	NC_003272	+
176236	176530	7978	8270	NC_000911	NC_003272	+
176693	177449	8336	9088	NC_000911	NC_003272	+
177610	177976	9165	9528	NC_000911	NC_003272	+
178531	178721	4254015	4253825	NC_000911	NC_003272	-
178816	179659	4253742	4252896	NC_000911	NC_003272	-
182487	183088	6004594	6005187	NC_000911	NC_003272	+
189841	189954	5553628	5553519	NC_000911	NC_003272	-
192884	194314	5658891	5660324	NC_000911	NC_003272	+
204604	206356	4986271	4984519	NC_000911	NC_003272	-
207319	207418	4984164	4984063	NC_000911	NC_003272	-
209047	209217	1534023	1534203	NC_000911	NC_003272	+
210752	211616	1535892	1536747	NC_000911	NC_003272	+
213207	213355	1537903	1538052	NC_000911	NC_003272	+
216262	216297	994399	994434	NC_000911	NC_003272	+
216298	216501	995155	995357	NC_000911	NC_003272	+
217738	218308	995530	996102	NC_000911	NC_003272	+
218364	218710	996134	996480	NC_000911	NC_003272	+
219232	219517	997036	997321	NC_000911	NC_003272	+
232041	232279	308868	308630	NC_000911	NC_003272	-
232311	233984	308598	306928	NC_000911	NC_003272	-
242509	243067	2087939	2087372	NC_000911	NC_003272	-
260461	261162	3063538	3062834	NC_000911	NC_003272	-
268822	269738	5710672	5711591	NC_000911	NC_003272	+
270792	271027	4359479	4359717	NC_000911	NC_003272	+
271428	271509	4360899	4360980	NC_000911	NC_003272	+
274544	275516	4978050	4977078	NC_000911	NC_003272	-
283175	284480	2192448	2193749	NC_000911	NC_003272	+
285138	285279	2195044	2195189	NC_000911	NC_003272	+
286140	287525	6022322	6023710	NC_000911	NC_003272	+
299521	299954	762101	762533	NC_000911	NC_003272	+
299978	300941	762585	763547	NC_000911	NC_003272	+
302334	302448	766044	766148	NC_000911	NC_003272	+
302529	302737	766177	766378	NC_000911	NC_003272	+
305697	306798	1001568	1002672	NC_000911	NC_003272	+
315991	316777	752440	753226	NC_000911	NC_003272	+
320582	320672	2024850	2024943	NC_000911	NC_003272	+
329562	331077	1298150	1296637	NC_000911	NC_003272	-
333473	333664	476996	477206	NC_000911	NC_003272	+
334586	335608	478325	479350	NC_000911	NC_003272	+
339681	340987	4969311	4968000	NC_000911	NC_003272	-
375494	375717	6238821	6239043	NC_000911	NC_003272	+
375762	375855	6239044	6239134	NC_000911	NC_003272	+
380049	380997	6251183	6252131	NC_000911	NC_003272	+
397037	397892	4515106	4515961	NC_000911	NC_003272	+
405230	406135	304681	303812	NC_000911	NC_003272	-
406166	406254	303787	303699	NC_000911	NC_003272	-
406302	406545	303679	303435	NC_000911	NC_003272	-
406558	406754	303395	303178	NC_000911	NC_003272	-
406781	407058	303175	302913	NC_000911	NC_003272	-
407084	407534	299635	299179	NC_000911	NC_003272	-
430451	430948	857239	856742	NC_000911	NC_003272	-
437925	438235	2041538	2041229	NC_000911	NC_003272	-
438258	438973	2041226	2040511	NC_000911	NC_003272	-
442512	443128	2782361	2782976	NC_000911	NC_003272	+
443415	443932	2783261	2783778	NC_000911	NC_003272	+
445164	446001	1440775	1441621	NC_000911	NC_003272	+
446294	447480	5596153	5594941	NC_000911	NC_003272	-
457842	458297	1995275	1994820	NC_000911	NC_003272	-
460958	461887	1088241	1089221	NC_000911	NC_003272	+
