idtwo	org	type	gi
NC_009925	Acaryochloris marina MBIC11017	chr	158333233
NC_009926	Acaryochloris marina MBIC11017	pREB1	158339488
NC_009927	Acaryochloris marina MBIC11017	pREB2	158339871
NC_009928	Acaryochloris marina MBIC11017	pREB3	158340280
NC_009929	Acaryochloris marina MBIC11017	pREB4	158340643
NC_009930	Acaryochloris marina MBIC11017	pREB5	158340917
NC_009931	Acaryochloris marina MBIC11017	pREB6	158341140
NC_009932	Acaryochloris marina MBIC11017	pREB7	158341329
NC_009933	Acaryochloris marina MBIC11017	pREB8	158341503
NC_009934	Acaryochloris marina MBIC11017	pREB9	158341621
NC_020056	Anabaena cylindrica PCC 7122	pANACY.05	436843263
NC_019771	Anabaena cylindrica PCC 7122	chr	440679730
NC_019772	Anabaena cylindrica PCC 7122	pANACY.01	440685051
NC_019773	Anabaena cylindrica PCC 7122	pANACY.03	440685202
NC_019774	Anabaena cylindrica PCC 7122	pANACY.04	440685330
NC_019775	Anabaena cylindrica PCC 7122	pANACY.06	440685390
NC_020157	Anabaena cylindrica PCC 7122	pANACY.02	443329695
NC_019427	Anabaena sp. 90	cir	414075311
NC_019428	Anabaena sp. 90	pANA01	414078960
NC_019429	Anabaena sp. 90	pANA02	414079049
NC_019439	Anabaena sp. 90	chr	414079097
NC_019440	Anabaena sp. 90	pANA03	414079804
NC_007410	Anabaena variabilis ATCC 29413	plasmid A	75812284
NC_007411	Anabaena variabilis ATCC 29413	plasmid B	75812629
NC_007412	Anabaena variabilis ATCC 29413	plasmid C	75812661
NC_007413	Anabaena variabilis ATCC 29413	chr	75906225
NC_014000	Anabaena variabilis ATCC 29413	ins element	292905252
NC_016640	Arthrospira platensis NIES-39	chr	479126419
NC_019751	Calothrix sp. PCC 6303	chr	428296779
NC_019727	Calothrix sp. PCC 6303	pCAL6303.01	428303471
NC_019752	Calothrix sp. PCC 6303	pCAL6303.03	428303526
NC_019728	Calothrix sp. PCC 6303	pCAL6303.02	428303567
NC_019682	Calothrix sp. PCC 7507	chr	427715354
NC_019697	Chamaesiphon minutus PCC 6605	chr	434384225
NC_019698	Chamaesiphon minutus PCC 6605	pCHA6605.02	434389900
