gi	idone	id	ref.prot
16329170	16329172	slr0612	NP_439900.1
16329170	16329173	slr0613	NP_439901.1
16329170	16329174	sll0558	NP_439902.1
16329170	16329171	slr0611	NP_439899.1
16329170	16329176	sll1213	NP_439904.1
16329170	16329177	sll1212	NP_439905.1
16329170	16329178	slr1311	NP_439906.1
16329170	16329175	sll1214	NP_439903.1
16329170	16329180	sll1209	NP_439908.1
16329170	16329181	slr1315	NP_439909.1
16329170	16329182	slr1316	NP_439910.1
16329170	16329183	slr1317	NP_439911.1
16329170	16329184	slr1318	NP_439912.1
16329170	16329185	slr1319	NP_439913.1
16329170	16329186	sll1206	NP_439914.1
16329170	16329187	sll1205	NP_439915.1
16329170	16329188	sll1204	NP_439916.1
16329170	16329189	sll1203	NP_439917.1
16329170	16329190	sll1202	NP_439918.1
16329170	16329191	sll1409	NP_439919.1
16329170	16329192	sll1408	NP_439920.1
16329170	16329193	sll1407	NP_439921.1
16329170	16329194	sll1406	NP_439922.1
16329170	16329195	sll1405	NP_439923.1
16329170	16329196	sll1404	NP_439924.1
16329170	16329197	slr1484	NP_439925.1
16329170	16329198	slr1485	NP_439926.1
16329170	16329199	slr1488	NP_439927.1
16329170	16329200	slr1489	NP_439928.1
16329170	16329201	slr1490	NP_439929.1
16329170	16329202	slr1491	NP_439930.1
16329170	16329203	slr1492	NP_439931.1
16329170	16329204	slr1493	NP_439932.1
16329170	16329205	slr1494	NP_439933.1
16329170	16329206	sll1401	NP_439934.1
16329170	16329207	sll1400	NP_439935.1
16329170	16329208	ssl2733	NP_439936.1
16329170	16329209	sll1399	NP_439937.1
16329170	16329210	sll1398	NP_439938.1
16329170	16329211	slr1495	NP_439939.1
16329170	16329212	sll1397	NP_439940.1
16329170	16329213	sll1396	NP_439941.1
16329170	16329214	slr1498	NP_439942.1
16329170	16329215	sll1395	NP_439943.1
16329170	16329216	sll1394	NP_439944.1
16329170	16329217	sll1393	NP_439945.1
16329170	16329218	sll1392	NP_439946.1
16329170	16329179	slr1312	NP_439907.1
16329170	16329220	slr1113	NP_439948.1
16329170	16329221	slr1114	NP_439949.1
16329170	16329222	slr1115	NP_439950.1
16329170	16329223	slr1116	NP_439951.1
16329170	16329224	slr1117	NP_439952.1
16329170	16329225	sll1064	NP_439953.1
16329170	16329226	slr1118	NP_439954.1
16329170	16329227	sll1063	NP_439955.1
16329170	16329228	slr1119	NP_439956.1
16329170	16329229	sll1062	NP_439957.1
16329170	16329230	sll1061	NP_439958.1
16329170	16329231	sll1060	NP_439959.1
16329170	16329232	ssl2069	NP_439960.1
16329170	16329233	ssr1853	NP_439961.1
16329170	16329234	slr1120	NP_439962.1
16329170	16329235	sll1059	NP_439963.1
16329170	16329236	sll1058	NP_439964.1
16329170	16329237	sll1057	NP_439965.1
16329170	16329238	sll1056	NP_439966.1
16329170	16329239	slr1122	NP_439967.1
16329170	16329240	sll1054	NP_439968.1
16329170	16329241	sll1053	NP_439969.1
16329170	16329242	slr1123	NP_439970.1
16329170	16329244	slr1125	NP_439972.1
16329170	16329245	sll1052	NP_439973.1
16329170	16329246	sll1051	NP_439974.1
16329170	16329247	sll1049	NP_439975.1
16329170	16329248	slr1127	NP_439976.1
16329170	16329249	slr1128	NP_439977.1
16329170	16329250	slr1129	NP_439978.1
16329170	16329251	slr1130	NP_439979.1
16329170	16329252	sll1045	NP_439980.1
16329170	16329253	sll1043	NP_439981.1
16329170	16329254	sll0716	NP_439982.1
16329170	16329255	slr0721	NP_439983.1
16329170	16329256	sll0712	NP_439984.1
16329170	16329257	sll0711	NP_439985.1
16329170	16329258	sll0710	NP_439986.1
16329170	16329259	sll0709	NP_439987.1
16329170	16329219	slr1501	NP_439947.1
16329170	16329261	slr0722	NP_439989.1
16329170	16329262	slr0723	NP_439990.1
16329170	16329263	slr0724	NP_439991.1
16329170	16329264	slr0725	NP_439992.1
16329170	16329265	slr0727	NP_439993.1
16329170	16329266	slr0728	NP_439994.1
16329170	16329267	slr0729	NP_439995.1
16329170	16329268	slr0730	NP_439996.1
16329170	16329269	slr0731	NP_439997.1
16329170	16329270	sll0704	NP_439998.1
16329170	16329271	slr0732	NP_439999.1
16329170	16329272	sll0703	NP_440000.1
