id	count	start	end	strand	genes	condition	uef	name
TU1	0	105	6	-	NA	N	2.83	NA
NA	0	105	6	-	slr0611-2	N	2.83	NA
TU3	1	577	990	+	NA	Fe	1.07	probable pseudouridine synthase
TU2	1	577	990	+	slr0612	Fe	1.07	probable pseudouridine synthase
TU3	0	909	810	-	NA	N	1.42	NA
TU2	0	909	810	-	slr0612	N	1.42	NA
TU5	1	1532	2150	+	sll0558	15C	1.01	hypothetical protein
TU4	1	1532	2150	+	slr0613	15C	1.01	hypothetical protein
TU6	0	2151	2701	+	NA	N	1.56	NA
TU5	0	2151	2701	+	sll0558	N	1.56	NA
TU5	1	2900	2061	-	sll0558	15C	1.75	hypothetical protein YCF53
TU4, TU6	1	2900	2061	-	slr0613	15C	1.75	hypothetical protein YCF53
NA	0	3182	2955	-	NA	exp. P.	1.04	NA
TU7	0	3182	2955	-	NA	exp. P.	1.04	NA
NA	1	4349	3183	-	NA	exp. P.	1.01	magnesiumProtoporphyrin IX monomethyl ester cyclase
TU8	1	4349	3183	-	sll1214	exp. P.	1.01	magnesiumProtoporphyrin IX monomethyl ester cyclase
NA	2	6656	4350	-	NA	HL	1.46	GDP-mannose 4,6-dehydratase , GDP-fucose synthetase
TU9	2	6656	4350	-	sll1212, sll1213	HL	1.46	GDP-mannose 4,6-dehydratase , GDP-fucose synthetase
NA	0	6761	6657	-	NA	HL	3.01	NA
TU10	0	6761	6657	-	NA	HL	3.01	NA
NA	0	6837	6762	-	NA	15C	1.43	NA
TU11	0	6837	6762	-	NA	15C	1.43	NA
TU12	1	7180	8379	+	NA	HL	1.81	photosystem II D1 protein
TU13	1	7180	8379	+	slr1311	HL	1.81	photosystem II D1 protein
TU12	0	7210	6838	-	NA	N	1.71	NA
TU13	0	7210	6838	-	slr1311	N	1.71	NA
NA	1	8457	10737	+	sll1209	exp. P.	2.84	arginine decarboxylase
TU14	1	8457	10737	+	slr1312	exp. P.	2.84	arginine decarboxylase
NA	0	12184	11793	-	NA	N	1.22	DNA ligase 
TU15	0	12184	11793	-	sll1209	N	1.22	DNA ligase 
TU16, TU18	1	12746	13436	+	NA	42C	1.26	hypothetical protein
TU17	1	12746	13436	+	slr1315	42C	1.26	hypothetical protein
TU16	0	12851	12719	-	NA	exp. P.	1.86	NA
TU17	0	12851	12719	-	slr1315	exp. P.	1.86	NA
TU18	0	13001	12891	-	NA	N	1.24	NA
TU17	0	13001	12891	-	slr1315	N	1.24	NA
NA	1	13437	13538	+	NA	Fe	8.28	iron(III) dicitrate ABC transporter permease
TU19	1	13437	13538	+	slr1316	Fe	8.28	iron(III) dicitrate ABC transporter permease
TU20	0	14365	14261	-	NA	15C	2	NA
NA	0	14365	14261	-	slr1316	15C	2	NA
NA	0	14742	14857	+	NA	Fe	2.59	ABC-type iron(III) dicitrate transport system perm ease protein 
TU21	0	14742	14857	+	slr1317	Fe	2.59	ABC-type iron(III) dicitrate transport system perm ease protein 
TU22	0	15763	15585	-	NA	Fe	1.84	NA
NA	0	15763	15585	-	slr1317	Fe	1.84	NA
TU24	2	15908	17802	+	sll1206	Fe	17.01	iron(III) dicitrate transport system ATP-binding p rotein , iron(III) dicitrate transport system substrate-bin ding protein
TU23	2	15908	17802	+	slr1318, slr1319	Fe	17.01	iron(III) dicitrate transport system ATP-binding p rotein , iron(III) dicitrate transport system substrate-bin ding protein
TU25	0	19470	19569	+	NA	exp. P.	1.3	NA
TU24	0	19470	19569	+	sll1206	exp. P.	1.3	NA
TU24	1	20447	17261	-	sll1206	Fe	1138.52	ferric aerobactin receptor
TU23, TU25	1	20447	17261	-	slr1318, slr1319	Fe	1138.52	ferric aerobactin receptor
TU26	0	20842	20943	+	NA	15C	1.2	NA
NA	0	20842	20943	+	sll1205	15C	1.2	NA
TU27	0	20964	21282	+	NA	exp. P.	1.12	NA
NA	0	20964	21282	+	sll1205	exp. P.	1.12	NA
TU28	0	26256	26379	+	NA	15C	1.09	NA
TU29	0	26256	26379	+	sll1409	15C	1.09	NA
TU28	0	26428	26327	-	NA	N	1.93	NA
TU29	0	26428	26327	-	NA	N	1.93	NA
TU30	0	26934	27035	+	NA	Dark	1.24	NA
NA	0	26934	27035	+	sll1409	Dark	1.24	NA
NA	1	27872	27767	-	NA	Fe	40.89	ferrichrome-iron receptor
TU31	1	27872	27767	-	sll1409	Fe	40.89	ferrichrome-iron receptor
TU33	0	28163	28326	+	NA	Fe	2.15	NA
TU32	0	28163	28326	+	sll1404, sll1405, sll1406, sll1407, sll1408	Fe	2.15	NA
TU34	0	31013	31063	+	NA	Fe	1.64	NA
TU32	0	31013	31063	+	sll1404, sll1405, sll1406, sll1407, sll1408	Fe	1.64	NA
TU35	0	31189	31863	+	NA	exp. P.	1.25	NA
TU32	0	31189	31863	+	sll1404, sll1405, sll1406, sll1407, sll1408	exp. P.	1.25	NA
TU33, TU34, TU35	5	33586	27873	-	NA	Fe	86.29	biopolymer transport ExbB protein homolog , biopolymer transport ExbD protein homolog , ferrichrome-iron receptor , probable methyltransferase , transcriptional regulator
TU32	5	33586	27873	-	sll1404, sll1405, sll1406, sll1407, sll1408	Fe	86.29	biopolymer transport ExbB protein homolog , biopolymer transport ExbD protein homolog , ferrichrome-iron receptor , probable methyltransferase , transcriptional regulator
NA	3	33809	38191	+	NA	Fe	19.01	unknown protein , putative phosphatidylinositol phosphate kinase, sa lt-induced periplasmic protein , multidrug resistance family ABC transporter
TU37	3	33809	38191	+	slr1484, slr1485, slr1488	Fe	19.01	unknown protein , putative phosphatidylinositol phosphate kinase, sa lt-induced periplasmic protein , multidrug resistance family ABC transporter
NA	0	33820	33709	-	NA	Fe	9.67	NA
TU36	0	33820	33709	-	NA	Fe	9.67	NA
TU38	0	38569	38481	-	NA	Fe	15.59	NA
NA	0	38569	38481	-	slr1488	Fe	15.59	NA
TU40, TU41	2	38584	40104	+	NA	Fe	29.5	transcriptional regulator , ferrichrome-iron receptor
TU39	2	38584	40104	+	slr1489, slr1490	Fe	29.5	transcriptional regulator , ferrichrome-iron receptor
TU40	0	39713	39661	-	NA	Fe	14.37	NA
TU39	0	39713	39661	-	slr1489, slr1490	Fe	14.37	NA
TU41	0	40128	40027	-	NA	N	1.38	NA
TU39	0	40128	40027	-	slr1489, slr1490	N	1.38	NA
NA	0	40255	40356	+	NA	15C	1.25	ferrichrome-iron receptor 
TU42	0	40255	40356	+	slr1490	15C	1.25	ferrichrome-iron receptor 
TU43	0	42797	42686	-	NA	HL	1.41	NA
NA	0	42797	42686	-	slr1491	HL	1.41	NA
TU44	0	43382	43281	-	NA	15C	1.09	NA
NA	0	43382	43281	-	slr1491	15C	1.09	NA
TU45	0	46074	45539	-	NA	15C	2.75	NA
NA	0	46074	45539	-	slr1494	15C	2.75	NA
TU47	0	47450	47549	+	NA	N	1.51	NA
TU46	0	47450	47549	+	sll1398, sll1399, ssl2733, sll1400, sll1401	N	1.51	NA
TU48	0	49539	50121	+	NA	exp. P.	1.5	NA
TU46	0	49539	50121	+	sll1398, sll1399, ssl2733, sll1400, sll1401	exp. P.	1.5	NA
TU46, TU50	2	50122	53126	+	sll1394, sll1395, sll1396, sll1397, sll1398, sll1399, ssl2733, sll1400, sll1401	N	2.16	hypothetical protein , putative transposase
TU49	2	50122	53126	+	slr1495, slr1496	N	2.16	hypothetical protein , putative transposase
TU46	5	50262	46915	-	sll1398, sll1399, ssl2733, sll1400, sll1401	exp. P.	2.65	photosystem II reaction center 13 kDa protein , hypothetical protein , hypothetical protein , hypothetical protein , unknown protein
TU47, TU48, TU49	5	50262	46915	-	slr1495, slr1496	exp. P.	2.65	photosystem II reaction center 13 kDa protein , hypothetical protein , hypothetical protein , hypothetical protein , unknown protein
TU50	1	54514	55112	+	sll1394, sll1395, sll1396, sll1397	Fe	1.33	hydrogenase isoenzyme formation protein HypD
TU51	1	54514	55112	+	slr1498	Fe	1.33	hydrogenase isoenzyme formation protein HypD
TU50	4	57303	52243	-	sll1394, sll1395, sll1396, sll1397	15C	1.13	peptide methionine sulfoxide reductase , dTDP-6-deoxy-L-mannose-dehydrogenase , unknown protein , putative transposase [ISY100_a]
TU49, TU51	4	57303	52243	-	slr1495, slr1496, slr1498	15C	1.13	peptide methionine sulfoxide reductase , dTDP-6-deoxy-L-mannose-dehydrogenase , unknown protein , putative transposase [ISY100_a]
NA	1	58868	57304	-	NA	exp. P.	1.35	glycogen synthase
TU52	1	58868	57304	-	sll1393	exp. P.	1.35	glycogen synthase
NA	0	58986	58869	-	NA	exp. P.	1.72	NA
TU53	0	58986	58869	-	NA	exp. P.	1.72	NA
NA	1	59702	60239	+	NA	HL	1.6	probable acetyltransferase
TU55	1	59702	60239	+	slr1501	HL	1.6	probable acetyltransferase
NA	1	59703	59604	-	NA	HL	1.55	transcriptional regulator
TU54	1	59703	59604	-	sll1392	HL	1.55	transcriptional regulator
NA	0	60286	60506	+	NA	P	1.03	probable acetyltransferase 
TU56	0	60286	60506	+	slr1501	P	1.03	probable acetyltransferase 
TU58, TU59	5	60507	66040	+	sll1064	N	1.11	ATP-binding protein of ABC transporter , hypothetical protein , probable methyltransferase , hypothetical protein , hypothetical protein
